ProdId,Description,SalesGroup
R-63864,CONTAINER|Paper Cup Charge,SUPPLY
R-45806,CONTAINER|Paper Cup Charge.,SUPPLY
R-13572,CONTAINER|Take Out,SUPPLY
R-30499,DEL|Des|Soft Serve|8oz,GV - DELISH
R-50538,DEL|Panini|Chick&Brie,GV - DELISH
R-50537,DEL|Panini|Fire roasted Farm,GV - DELISH
R-50308,DEL|Panini|Margarita,GV - DELISH
R-55095,DEL|Panini|Roasted Veg,GV - DELISH
R-50304,DEL|Panini|SP,GV - DELISH
R-49825,DEL|Pasta Pesto|Salad,GV - DELISH
R-58379,DEL|Salad|Apple pecan ,GV - DELISH
R-56869,DEL|Salad|avocado truf + egg,SPECIALS
R-62269,DEL|Salad|Avocado truffle,SPECIALS
R-55142,DEL|Salad|Baja goat cheese|AAD,GV - DELISH
R-64467,DEL|Salad|Baja|CHICKEN,GV - DELISH
R-46547,DEL|Salad|Bandit,GV - DELISH
R-62529,DEL|Salad|Bandit|Chicken,GV - DELISH
R-43698,DEL|Salad|Blueberry BC,GV - DELISH
R-50302,DEL|Salad|Caesar Classic,GV - DELISH
R-62019,DEL|Salad|Caesar spicy,GV - DELISH
R-61848,DEL|Salad|Cashew Slaw,GV - DELISH
R-50301,DEL|Salad|Cobb ,GV - DELISH
R-57281,DEL|Salad|Gather Greenery,GV - DELISH
R-55144,DEL|Salad|Greek,GV - DELISH
R-62530,DEL|Salad|Greek chicken,GV - DELISH
R-44324,DEL|Salad|Marinated Tofu,GV - DELISH
R-40545,DEL|Salad|Mediteranean Chicken,GV - DELISH
R-62440,DEL|Salad|Mediteranean Salad,GV - DELISH
R-57064,DEL|Salad|Pumpkin,GV - DELISH
R-56656,DEL|Salad|Sesame shallot tofu,SPECIALS
R-43694,DEL|Salad|Smoked BC Tofu,GV - DELISH
R-56513,DEL|Salad|Spicy Caesar Chicken,GV - DELISH
R-48119,DEL|Salad|Superfood Crunch|Sp,SPECIALS
R-40587,DEL|Salad|Thai Chicken,GV - DELISH
R-50300,DEL|Salad|Ubc Fresh,GV - DELISH
R-40544,DEL|Salad|Warm Roast Vegetable,GV - DELISH
R-46074,DEL|Smoothie-|Bna Almnd Buta,GV - DELISH
R-56613,DEL|Smoothie|Almonds forever,GV - DELISH
R-47777,DEL|Smoothie|Apple Cinnamon,GV - DELISH
R-44306,DEL|Smoothie|Banana Matcha ,GV - DELISH
R-43697,DEL|Smoothie|Blueberry Boost ,GV - DELISH
R-50299,DEL|Smoothie|Bubble Tea,GV - DELISH
R-55185,DEL|Smoothie|C++,GV - DELISH
R-44591,DEL|Smoothie|Chocohlic ,GV - DELISH
R-36817,DEL|Smoothie|Delish,GV - DELISH
R-56680,DEL|Smoothie|Green means go,GV - DELISH
R-40466,DEL|Smoothie|Hawaiian Sun,GV - DELISH
R-50298,DEL|Smoothie|Nojito,GV - DELISH
R-36814,DEL|Smoothie|Orange Zinger,GV - DELISH
R-36763,DEL|Smoothie|Rise & Shine,GV - DELISH
R-49573,DEL|Smoothie|Shamrock Shake|Sp,GV - DELISH
R-49036,DEL|Smoothie|Strwbry Cupid,GV - DELISH
R-70824,DEL|Strawberry Salad|AAD,GV - DELISH
R-53335,DES||Johnny's Apple Pie|Sp,SPECIALS
R-13183,DES|Bar|Granola|UBC,GV - DESSERT
R-39842,DES|Biscotti|Wendel's|Almond ,GV - DESSERT
R-43028,DES|Bun|Hot Cross,GV - DESSERT
R-32206,DES|Cake|Carrot Caramel Stack,GV - DESSERT
R-32329,DES|Cake|Cheesecake GF,GV - DESSERT
R-13852,DES|Cake|Cheesecake|New York,GV - DESSERT
R-13162,DES|Cake|Ponderosa,GV - DESSERT
R-22310,DES|Cake|Slice Asst,GV - DESSERT
R-33951,DES|Cake|Toffee Sticky,GV - DESSERT
R-65752,DES|Cake|Valentine Choco Heart,GV - DESSERT
R-55145,DES|Cake|Valentine Lava Cake,GV - DESSERT
R-38790,DES|Cheesecake|Chuckanut|Berry,GV - GRAB & GO
R-38791,DES|Cheesecake|Chuckanut|Choco,GV - GRAB & GO
R-33942,DES|Cheesecake|Chuckanut|GF,GV - DESSERT
R-65651,DES|Cheesecake|Chucknut|Berry.,GV - GRAB & GO
R-32314,DES|Cheesecake|Raspberry Yogur,OK - BAKERY/DESSERT
R-13159,DES|Cinnamon Bun,GV - DESSERT
R-53070,DES|Cookie|3 pack,GV - DESSERT
R-53364,DES|Cookie|6 pack,GV - DESSERT
R-67199,DES|Cookie|Choc Raspberr Cream,GV - DESSERT
R-34888,DES|Cookie|Easter Egg|CK,GV - DESSERT
R-66175,DES|Cookie|Easter Egg|Trump,GV - DESSERT
