ProdId,Description,SalesGroup
R-62420,FLX|Benny|salmon|x1,GV FLEX GLOBAL BOWL
R-62006,FLX|Benny|spinach feta,GV FLEX GLOBAL BOWL
R-61999,FLX|Benny|tomato,GV FLEX GLOBAL BOWL
R-62418,FLX|Benny|Tomato|x1,GV FLEX GLOBAL BOWL
R-55455,FLX|Beyond Spaghetti|PASTA,SPECIALS
R-62359,FLX|Bok-choy,GV - FLEX ASIAN NOODLE
R-55304,FLX|BPD||Adobo Chicken plate+1,GV - FLEX BC
R-55305,FLX|BPD||Adobo Chicken plate+2,GV - FLEX BC
R-57201,FLX|BPD|Add salmon,FOOD
R-56497,FLX|BPD|Adobo Tofu veggie,GV - FLEX BC
R-56867,FLX|BPD|Adobo Tofu veggie +1,GV - FLEX BC
R-56868,FLX|BPD|Adobo Tofu veggie +2,GV - FLEX BC
R-47210,FLX|BPD|Banh Mi Tofu,SPECIALS
R-45119,FLX|BPD|Beet Wellington,FOOD
R-57232,FLX|BPD|Beet Wellington|+1,FOOD
R-57234,FLX|BPD|Beet Wellington|+2,FOOD
R-57198,FLX|BPD|Chowder clam,GV - FLEX BC
R-57400,FLX|BPD|Chowder clam|+1,GV - FLEX BC
R-57401,FLX|BPD|Chowder clam|+2,GV - FLEX BC
R-57374,FLX|BPD|Crispy potato,FOOD
R-44636,FLX|BPD|Fried Scallion Rice,GV FLEX BAO
R-57195,FLX|BPD|Grilled tempeh|add,FOOD
R-57362,FLX|BPD|laksa ADD SIDE,FOOD
R-57219,FLX|BPD|Lettuce wrap Tofu|+1,GV - FLEX BC
R-57220,FLX|BPD|Lettuce wrap Tofu|+2,GV - FLEX BC
R-57215,FLX|BPD|Ltc wrap Chicken|+1,SPECIALS
R-57216,FLX|BPD|Ltc wrap Chicken|+2,SPECIALS
R-57197,FLX|BPD|Perogies| +2,GV FLEX GLOBAL BOWL
R-57196,FLX|BPD|Root vegetales,FOOD
R-57208,FLX|BPD|squash stew one pot,GV - FLEX BC
R-57211,FLX|BPD|squash stew one pot|+1,GV - FLEX BC
R-57212,FLX|BPD|squash stew one pot|+2,GV - FLEX BC
R-62413,FLX|Broccoli and cauliflower,GV - FLEX BC
R-64093,FLX|Brown Rice ,GV - FLEX BC
R-62385,FLX|Brown Rice pilaf,GV - FLEX BC
R-62373,FLX|Brussel sprout roasted ,GV - FLEX BC
R-56775,FLX|Butter chicken +1|AAD,GV FLEX GLOBAL BOWL
R-56776,FLX|Butter chicken +2,GV FLEX GLOBAL BOWL
R-44376,FLX|Butter Chicken|275g,GV FLEX GLOBAL BOWL
R-57264,FLX|Butter tofu +1|AAD,GV FLEX GLOBAL BOWL
R-57265,FLX|Butter tofu +2,GV FLEX GLOBAL BOWL
R-57262,FLX|Butter Tofu 275g,GV FLEX GLOBAL BOWL
R-47464,FLX|Cabbage Roll Pomme Anna,GV-FLEX PLANT FORWARD
R-47104,FLX|Cabbage roll savoy,GV-FLEX PLANT FORWARD
R-62375,FLX|Caesar salad,GV - FLEX BC
R-51254,FLX|Carrot Noodle|PF,GV-FLEX PLANT FORWARD
R-62411,FLX|Carrots and maple,GV - FLEX BC
R-57392,FLX|Carrots|parsley + butter,GV - FLEX BC
R-57228,FLX|Cassolet ham 250g,GV - FLEX BC
R-57229,FLX|Cassolet ham|+1,GV - FLEX BC
R-57230,FLX|Cassolet ham|+2,GV - FLEX BC
R-53245,FLX|Cassolet veg 250g,GV - FLEX BC
R-57222,FLX|Cassolet veg|+1,GV - FLEX BC
R-57223,FLX|Cassolet veg|+2,GV - FLEX BC
R-61981,FLX|Cauliflower fritters| +1,GV - FLEX BC
R-61980,FLX|Cauliflower fritters| +2,GV - FLEX BC
R-47105,FLX|Cauliflower gratin|PF ,GV - FLEX BC
R-61924,FLX|cauliflower steak 150g,GV - FLEX BC
R-61923,FLX|cauliflower steak| +1,GV - FLEX BC
R-61922,FLX|Cauliflower steak| +2,GV - FLEX BC
R-56856,FLX|Chicken Pot Pie +1,GV FLEX GLOBAL BOWL
R-56857,FLX|Chicken Pot Pie +2,GV FLEX GLOBAL BOWL
R-45059,FLX|Chicken Soba Noodle,GV - FLEX ASIAN NOODLE
R-61948,FLX|Chicken Souvlaki|PLATE,FT HOMESKILLET
R-65397,FLX|Chorizo Lasagna| +1,GV - FLEX BC
R-65396,FLX|Chorizo Lasagna| +2,GV - FLEX BC
R-64996,FLX|Chorizo Lasagna|300g,GV - FLEX BC
R-54956,FLX|Chowder Chowdown|SP,SPECIALS
R-43914,FLX|Chowder corn 240ml,GV - FLEX BC
R-57203,FLX|Chowder corn|+1,GV - FLEX BC
R-57199,FLX|Chowder corn|+2,GV - FLEX BC
R-62292,FLX|Chowder|add salmon ,FOOD
R-62390,FLX|Coconut steamed rice,GV FLEX BAO
R-62392,FLX|coleslaw,GV - FLEX BC
R-56630,FLX|Corn Tofu Succotash &slaw,GV - FLEX BC
R-61966,FLX|corn Tofu succotash| +1,GV - FLEX BC
R-61085,FLX|Corn Tofu Succotash|+2,GV - FLEX BC
R-62372,FLX|Creamed corn,GV - FLEX BC
R-62387,FLX|Cucumber sunomono,GV - FLEX ASIAN NOODLE
R-62394,FLX|donot,GV - FLEX BC
R-62393,FLX|donotuse,GV - FLEX BC
R-48357,FLX|Eggs Benny|Smk Salmon|AAD,GV-FLEX DOD
R-61993,FLX|Farm greenery ,GV - FLEX BC
R-61992,FLX|Farm greenery| +1,GV - FLEX BC
R-61990,FLX|Farm greenery| +2,GV - FLEX BC
R-61977,FLX|Fish Fritters| +1,GV - FLEX BC
R-45912,FLX|Fish Fritters|+2,GV - FLEX BC
R-61978,FLX|Fish Fritters|160g| AAD,GV - FLEX BC
R-30559,FLX|G&G|Dinner Roll,GV - GRAB & GO
R-62369,FLX|Garlic cheesey toast,FOOD
R-62374,FLX|Garlic mashed potatoes ,GV - FLEX BC
R-44388,FLX|GBL|Bowl|Morocan Lamb Stew,GV FLEX GLOBAL BOWL
R-62356,FLX|Ginger Broccoli ,GV - FLEX BC
R-52040,FLX|GLB|Add on|Sliced Smokey,GV FLEX GLOBAL BOWL
R-44750,FLX|GLB|Bowl|Farmers lunch  ,GV FLEX GLOBAL BOWL
R-54557,FLX|GLB|Garlic Flatbread,GV FLEX GLOBAL BOWL
R-55320,FLX|GLB|Steak & Veg Pot Pie,SPECIALS
R-55604,FLX|GLB|Turkey Pot Pie,GV FLEX GLOBAL BOWL
R-62358,FLX|Go-mai|broccoli,GV - FLEX ASIAN NOODLE
R-54346,FLX|Go-mai|broccoli 140g,GV FLEX GLOBAL BOWL
R-62378,FLX|Gravy chicken,GV - FLEX BC
R-62029,FLX|Greek Chicken Skewer|+2,GV - FLEX BC
R-32752,FLX|Greek Chicken Skewers(x2),GV - FLEX BC
R-62380,FLX|Greek salad feta,GV - FLEX BC
R-57210,FLX|grilled Leeks,GV - FLEX BC
R-57193,FLX|Gyoza|Vegetable,GV - DIM SUM
R-62379,FLX|hash| squash and tempeh,GV - FLEX BC
R-62371,FLX|Honey glazed carrots,GV - FLEX BC
R-62410,FLX|Kale & chard,GV - FLEX BC
R-65672,FLX|Laksa eggplant Noodle +1,GV - FLEX ASIAN NOODLE
R-65671,FLX|Laksa eggplant Noodle +2,GV - FLEX ASIAN NOODLE
R-57051,FLX|Laksa Tofu +1,GV - FLEX ASIAN NOODLE
R-57052,FLX|Laksa tofu +2,GV - FLEX ASIAN NOODLE
R-43922,FLX|Laksa Tofu Noodle,GV - FLEX ASIAN NOODLE
R-65254,FLX|Laksa|eggplant Tofu|AAD,GV - FLEX ASIAN NOODLE
R-64446,FLX|Laksa|ling cod|AAD 100g,GV - FLEX ASIAN NOODLE
R-45203,FLX|Laksa|Salmon|AAD,GV - FLEX ASIAN NOODLE
R-17215,FLX|Lasagne Beef|SP,SPECIALS
R-49823,FLX|Lasagne Chicken|SP,SPECIALS
R-62381,FLX|Lemon roatsed potatoes ,GV - FLEX BC
R-61887,FLX|lettuce wrap pork,GV - FLEX BC
R-55059,FLX|Lettuce wrap Tofu,GV - FLEX BC
R-64448,FLX|ling cod Laksa|+1,GV - FLEX ASIAN NOODLE
R-64447,FLX|ling cod Laksa|+2,GV - FLEX ASIAN NOODLE
R-47101,FLX|Maple Salmon Carrot Ndl,GV-FLEX PLANT FORWARD
R-64748,FLX|Mashed potatoes ,GV - FLEX BC
R-57185,FLX|Miso ramen| +1,GV - FLEX ASIAN NOODLE
R-57194,FLX|MIso ramen| +2,GV - FLEX ASIAN NOODLE
R-41308,FLX|Miso ramen|AAD,GV - FLEX ASIAN NOODLE
R-69621,FLX|Palak Paneer|AAD,GV FLEX GLOBAL BOWL
R-57807,FLX|Palak Paneer|side X 1,GV FLEX GLOBAL BOWL
R-55168,FLX|Pasta Bar Plant Based,GV FLEX GLOBAL BOWL
R-55166,FLX|Pasta Bar w Protein,GV FLEX GLOBAL BOWL
R-56121,FLX|Pasta Bar|Alfredo,GV FLEX GLOBAL BOWL
R-56120,FLX|Pasta Bar|Chorizo,GV FLEX GLOBAL BOWL
R-56317,FLX|Pasta|Chicken Mac n Cheese,SPECIALS
R-62286,FLX|Pasta|Mac & Cheese|+1|#1,GV - FLEX BC
R-62287,FLX|Pasta|Mac & Cheese|+2|#1,GV - FLEX BC
R-62285,FLX|Pasta|Mac & Cheese|350g #1,GV - FLEX BC
R-61944,FLX|Pasta|Mac + cheese|+1,GV - FLEX BC
R-61942,FLX|Pasta|mac + cheese|+3,GV - FLEX BC
R-61435,FLX|Pasta|Mac + Cheese|350g,GV - FLEX BC
R-61943,FLX|Pasta|Mac + cheese|AAD,GV - FLEX BC
R-57303,FLX|Pasta|Meat & Spaghetti|+1,SPECIALS
R-57305,FLX|Pasta|Meat & Spaghetti|+2,SPECIALS
R-42254,FLX|Pasta|Meat Sce & Spaghetti,SPECIALS
R-57306,FLX|Pasta|Meatball & Spag| +1,SPECIALS
R-57307,FLX|Pasta|Meatball & Spag| +2,SPECIALS
R-40603,FLX|Pasta|Meatball & Spaghetti,SPECIALS
R-57068,FLX|PASTA|Penne and marinara,SPECIALS
R-57312,FLX|Pasta|Primavera Spag| +1,SPECIALS
R-57313,FLX|Pasta|Primavera Spag| +2,SPECIALS
R-49596,FLX|Pasta|Primavera Spaghetti,SPECIALS
R-61908,FLX|Pasta|Ravioli butternut,GV - FLEX BC
R-61912,FLX|Pasta|Ravioli butternut +2,GV - FLEX BC
R-54847,FLX|Pasta|Scallop & Spaghett,SPECIALS
R-41830,FLX|Pasta|Tomato  & Spaghetti,SPECIALS
R-17096,FLX|Penne|Alfredo|Baked,SPECIALS
R-49747,FLX|Penne|GLB,SPECIALS
R-46360,FLX|Perogies&Sausage|AAD,GV FLEX GLOBAL BOWL
R-56862,FLX|PHO beef noodle +1,GV - FLEX ASIAN NOODLE
R-56861,FLX|Pho Beef Noodle +2,GV - FLEX ASIAN NOODLE
R-44766,FLX|Pho Beef Noodle|AAD,GV - FLEX ASIAN NOODLE
R-56863,FLX|PHO Veg Noodle Soup +1,GV - FLEX ASIAN NOODLE
R-56864,FLX|Pho Veg Noodle Soup +2,GV - FLEX ASIAN NOODLE
R-44930,FLX|PHO Veg Noodle Soup|AAD,GV - FLEX ASIAN NOODLE
R-61921,FLX|porchetta| +1,GV - FLEX BC
R-61920,FLX|Porchetta| +2,GV - FLEX BC
R-52676,FLX|Porchetta|150g,GV - FLEX BC
R-49971,FLX|Pot Pie Beef|SP,GV FLEX GLOBAL BOWL
R-62365,FLX|potato salad,GV - FLEX BC
R-47103,FLX|Potato|Pomme Anna,GV-FLEX PLANT FORWARD
R-26808,FLX|Quiche|3 Cheese|AAD,GV FLEX GLOBAL BOWL
R-51258,FLX|Quiche|Denver|AAD,GV FLEX GLOBAL BOWL
R-26809,FLX|Quiche|Ham&Cheese|AAD,GV FLEX GLOBAL BOWL
R-71815,FLX|Quiche|Mediterranean|AAD,GV FLEX GLOBAL BOWL
R-62003,FLX|Quiche|mushroom asparagus,GV FLEX GLOBAL BOWL
R-62004,FLX|Quiche|Pork belly,GV FLEX GLOBAL BOWL
R-57034,FLX|Quiche|Smoked Salmon|AAD,GV FLEX GLOBAL BOWL
R-62005,FLX|Quiche|Spinach&Feta|AAD,GV FLEX GLOBAL BOWL
R-62294,FLX|Quiche|Sundried tomato,GV FLEX GLOBAL BOWL
R-62282,FLX|Ramen|ADD egg,GV - FLEX ASIAN NOODLE
R-62416,FLX|roasted carrots,GV FLEX GLOBAL BOWL
R-62377,FLX|Root veg and sage,GV - FLEX BC
R-54729,FLX|Rotini & Veggie Pesto|SP,SPECIALS
R-55086,FLX|Rotini Veggie SunDry Pesto,SPECIALS
R-49585,FLX|Rotini|Primavera,SPECIALS
R-54905,FLX|RotiniPuttanesca|SP,SPECIALS
R-41831,FLX|Salad|Cold Winter Root Veg,GV - FLEX BC
R-62040,FLX|Salad|Signature Greens,GV-FLEX PLANT FORWARD
R-46998,FLX|Salad|WC Salmon BC ,GV - FLEX BC
R-55847,FLX|Salmon Alfredo penne|SPEC,SPECIALS
R-49990,FLX|Salmon Cakes|SP,SPECIALS
R-61997,FLX|Salmon Chowder| +1,GV - FLEX BC
R-61996,FLX|Salmon Chowder| +2,GV - FLEX BC
R-52826,FLX|salmon chowder|AAD,SPECIALS
R-56865,FLX|Salmon Laksa +1,GV - FLEX ASIAN NOODLE
R-56866,FLX|Salmon Laksa +2,GV - FLEX ASIAN NOODLE
R-48491,FLX|Salmon|BBQ,GV - FLEX BC
R-47095,FLX|Salmon|BBQ Cedar Plate,GV - FLEX BC
R-61883,FLX|Sesame shallot chicken,GV - FLEX BC
R-61884,FLX|Sesame shallot chicken +1,GV - FLEX BC
R-61889,FLX|Sesame shallot chicken +2,GV - FLEX BC
R-61881,FLX|Sesame shallot salad,GV - FLEX BC
R-61882,FLX|Sesame shallot salad +1,GV - FLEX BC
R-61890,FLX|Sesame shallot salad +2,GV - FLEX BC
R-61954,FLX|Shoyu Chicken +1,GV - FLEX BC
R-45153,FLX|Shoyu Chicken +2|AAD,GV - FLEX BC
R-61955,FLX|Shoyu Chicken 170g,GV - FLEX BC
R-69236,FLX|Shoyu Salmon|AAD,GV - FLEX BC
R-61958,FLX|Shoyu tofu 150g,GV - FLEX BC
R-61957,FLX|Shoyu tofu| +1,GV - FLEX BC
R-61956,FLX|Shoyu tofu| +2|AAD,GV - FLEX BC
R-37051,FLX|Side Naan,GV FLEX GLOBAL BOWL
R-49717,FLX|side|Bread|Garlic,GV FLEX GLOBAL BOWL
R-62041,FLX|side|Citrus arugula,GV - FLEX BC
R-61965,FLX|Side|Cornbread,GV - FLEX BC
R-36875,FLX|Side|Quinoa Pilaf,GV FLEX GLOBAL BOWL
R-53786,FLX|Side|Rice Brown,GV FLEX GLOBAL BOWL
R-63846,FLX|Side|Roasted Potato,GV FLEX GLOBAL BOWL
R-43902,FLX|Soba Noodle & Broccoli|NB,GV - FLEX ASIAN NOODLE
R-61967,FLX|Spicy Soy Salmon 100g,GV - FLEX BC
R-62035,FLX|Spicy Soy Salmon+1,GV - FLEX BC
R-41086,FLX|Spicy Soy Salmon+2,GV - FLEX BC
R-62288,FLX|Spicy Soy tofu 150g,GV - FLEX BC
R-62290,FLX|Spicy Soy tofu|+1,GV - FLEX BC
R-62289,FLX|Spicy Soy tofu|+2,GV - FLEX BC
R-62417,FLX|Spinach creamed,GV - FLEX BC
R-57379,FLX|Spinach Feta Tart ,GV - FLEX BC
R-61951,FLX|Spinach Feta Tart|+1,GV - FLEX BC
R-38665,FLX|Spinach Feta Tart|+2,GV - FLEX BC
R-62357,FLX|Spring roll x 1 ,GV - FLEX ASIAN NOODLE
R-64038,FLX|squash roast,GV - FLEX BC
R-64037,FLX|squash roast|+1,GV - FLEX BC
R-64036,FLX|squash roast|+2,GV - FLEX BC
R-64035,FLX|squash roast|+3,GV - FLEX BC
R-70730,FLX|Squash&Poblano Bake|AAD,GV FLEX GLOBAL BOWL
R-62360,FLX|Steamed broccoli,GV - FLEX BC
R-62386,FLX|steamed Gai-lan,GV - FLEX BC
R-62389,FLX|Steamed green beans,GV - FLEX BC
R-44768,FLX|Steamed Vegetables|NB,GV - FLEX ASIAN NOODLE
R-47094,FLX|Stew beef one pot |240G,GV - FLEX BC
R-57209,FLX|Stew beef one pot|+1,GV - FLEX BC
R-57357,FLX|Stew beef one pot|+2,GV - FLEX BC
R-62370,FLX|Stew beef one pot|+3,GV - FLEX BC
R-48122,FLX|Stew|Lentil & Butternut,SPECIALS
R-62433,FLX|Stuffing|Mushroom,GV - FLEX BC
R-61983,FLX|Summer tomato,GV - FLEX BC
R-61985,FLX|Summer tomato| +1,GV - FLEX BC
R-61987,FLX|Summer tomato| +2,GV - FLEX BC
R-62291,FLX|Summer tomato| +3,GV - DELISH
R-55294,FLX|Sweet and sour tofu|SP,SPECIALS
R-71075,FLX|Tandoori Chicken|AAD,GV FLEX GLOBAL BOWL
R-62391,FLX|Tater tots,GV - FLEX BC
R-61900,FLX|Tonkotsu Ramen +1,GV - FLEX ASIAN NOODLE
R-61902,FLX|Tonkotsu Ramen +2,GV - FLEX ASIAN NOODLE
R-57280,FLX|Tonkotsu Ramen|AAD,GV - FLEX ASIAN NOODLE
R-61946,FLX|Turkey dinner| +1,GV - FLEX BC
R-61945,FLX|Turkey dinner| +2,GV - FLEX BC
R-58389,FLX|Turkey Dinner|+3,GV - FLEX BC
R-62199,FLX|turkey roast|+4,GV - FLEX BC
R-62025,FLX|Turkey Roast|140g,GV SIMPLY LOCAL
R-62198,FLX|Turkey Roast|dinner 140g,GV - FLEX BC
R-62299,FLX|Turkey Roast|Plate,GV SIMPLY LOCAL
R-62027,FLX|Vegan hash|+2,GV - FLEX BC
R-62026,FLX|Vegan hash|+3,GV - FLEX BC
R-28396,FLX|Vegetarian Lasagna 300g,GV - FLEX BC
R-61927,FLX|Vegetarian Lasagna| +1,GV - FLEX BC
R-61928,FLX|Vegetarian Lasagna| +2,GV - FLEX BC
R-56859,FLX|Veggie Pot Pie +1,GV FLEX GLOBAL BOWL
R-56860,FLX|Veggie Pot Pie|AAD,GV FLEX GLOBAL BOWL
R-62412,FLX|White bean and pesto,GV - FLEX BC
R-50518,FLX|Yakitori| Maple Salmon,GV-FLEX YAKITORI
R-50521,FLX|Yakitori|Chicken,GV-FLEX YAKITORI
R-50516,FLX|Yakitori|Tamago(egg),GV-FLEX YAKITORI
R-50514,FLX|Yakitori|Tofu,GV-FLEX YAKITORI
R-50512,FLX|Yakitori|Zucchini,GV-FLEX YAKITORI
R-56858,FLXVeggie Pot Pie +2,GV FLEX GLOBAL BOWL
R-53785,FNH|Apple Crumble|Caramel|N13,SPECIALS
R-53779,FNH|Autum Salad|N13,SPECIALS
R-47593,FNH|Butternut mac and cheese,SPECIALS
R-64451,FNH|chicken cacciatore|WIR,SPECIALS
R-53783,FNH|Chicken&Couscous plate|N13,SPECIALS
R-47595,FNH|Cholocate mousse,SPECIALS
R-53992,FNH|Healthy Harvest Combo,SPECIALS
R-64452,FNH|Lasagne|WIR,SPECIALS
R-53787,FNH|Latte|Pumpkin spine|N13,SPECIALS
R-53776,FNH|Pumpkin Soup|N13,SPECIALS
R-47592,FNH|Rigatoni Baked,SPECIALS
R-47594,FNH|S'mores,SPECIALS
R-64453,FNH|tiramisu|WIR,SPECIALS
R-47505,FREE|Beverage Promo,BEVERAGE
R-53976,FREE|Coffee|12 oz|United Way,BEVERAGE
R-47000,FREE|Green-To-Go|Apple Asst,GV - GRAB & GO
R-47006,FREE|Green-To-Go|Banana,GV - GRAB & GO
R-47001,FREE|Green-To-Go|Fruit,GV - GRAB & GO
R-47747,FREE|Green-To-Go|Orange,GV - GRAB & GO
R-49023,FREE|Greens||Smoked Tofu Salad,GV - DELISH
R-48908,FREE|Greens|Avocado Eggs,GV FRESH FARE DAY
R-55272,FREE|Greens|Avocado Harissa,GV-FLEX PLANT FORWARD
R-41812,FREE|Greens|Baja  Bowl,GV FRESH FARE DAY
R-49592,FREE|Greens|Blueberry BC Salad,GV - DELISH
R-45986,FREE|Greens|Budda Bowl,GV FRESH FARE DAY
R-45982,FREE|Greens|Five Alarm Bowl,GV FRESH FARE DAY
R-55803,FREE|Greens|Five Alarm Bowl.,GV FRESH FARE DAY
R-45981,FREE|Greens|Gather Bowl,GV FRESH FARE DAY
R-53975,FREE|Greens|Latino Bowl,GV - CALIENTE
R-53770,FREE|Greens|Marinated Tofu|,GV - DELISH
R-39838,FREE|Greens|Overnight Bowl,GV FRESH FARE DAY
R-41813,FREE|Greens|Pacific Rim Bowl,GV GYAZA
R-54636,FREE|Greens|Salad|Ubc Fresh,GV - DELISH
R-48766,FREE|Greens|Small Bowl|16oz,GV - SIDES
R-48907,FREE|Greens|Soup|Pho Veg,GV - FLEX ASIAN NOODLE
R-55090,FREE|Greens|Spin Avocado Pasta,GV FRESH FARE DAY
R-53619,FREE|Greens|Thai Coconut|,GV FRESH FARE DAY
R-55273,FREE|Greens|Ultimate Veg Burge,GV FRESH FARE DAY
R-38537,FREE|Greens|Urban  Bowl,GV FRESH FARE DAY
R-46994,FREE|Greens|Warm Rst Veg Salad,GV - DELISH
R-38535,FREE|Milk Promo,BEVERAGE
R-49588,FRUIT|Apple|Ambrosia,GV - FRUIT
R-39817,FRUIT|Apple|BC Asst,GV - FRUIT
R-37832,FRUIT|Apple|Fuji 113ct,GV - FRUIT
R-13559,FRUIT|Apple|Fuji 64,GV - FRUIT
R-13560,FRUIT|Apple|Gala,GV - FRUIT
R-34989,FRUIT|Apple|Golden Delicious,GV - FRUIT
R-13562,FRUIT|Apple|Granny Smith,GV - FRUIT
R-49587,FRUIT|Apple|Macintosh,GV - FRUIT
R-13563,FRUIT|Apple|Red Delicious,GV - FRUIT
R-45802,FRUIT|Avocado,GV - FRUIT
R-13945,FRUIT|Banana,GV - FRUIT
R-17208,FRUIT|Blackberry|Basket,GV - FRUIT
R-43299,FRUIT|Blackberry|Bskt,GV - FRUIT
R-33923,FRUIT|Blueberry|Basket,GV - FRUIT
R-53152,FRUIT|Blueberry|Basket.,GV - FRUIT
R-13948,FRUIT|Canteloupe|1/4 cut,GV - FRUIT
R-34983,FRUIT|Cup|Grape,GV - FRUIT
R-13575,FRUIT|Cup|Grapes,GV - FRUIT
R-34978,FRUIT|Grapefruit,GV - FRUIT
R-13576,FRUIT|Honeydew 1/4 Cut,GV - FRUIT
R-13566,FRUIT|Kiwi,GV - FRUIT
R-38544,FRUIT|Lemon,GV - FRUIT
R-42550,FRUIT|Lime,GV - FRUIT
R-46333,FRUIT|Mandarin,GV - FRUIT
R-46351,FRUIT|Nectarine,GV - FRUIT
R-40891,FRUIT|Orange Cut,GV - FRUIT
R-13564,FRUIT|Orange Whole,GV - FRUIT
R-17222,FRUIT|Peach,GV - FRUIT
R-16953,FRUIT|Pear|Asian,GV - FRUIT
R-16240,FRUIT|Pear|Bartlet,GV - FRUIT
R-21814,FRUIT|Pear|Red Anjous,GV - FRUIT
R-46344,FRUIT|Plum,GV - FRUIT
R-41020,FRUIT|Pomegranate,GV - FRUIT
R-17207,FRUIT|Raspberry|Basket,GV - FRUIT
R-17206,FRUIT|Strawberry|Basket,GV - FRUIT
R-46346,FRUIT|Strawberry|Clam,GV - FRUIT
R-45979,FRUIT|Watermelon Slice,GV - FRUIT
R-54833,G&G |Chicken Alfredo| Packaged,SPECIALS
R-56032,G&G |Pasta Tomato Sauce|Pack,SPECIALS
R-54670,G&G |Penne Alfredo| Packaged,GV - GRAB & GO
R-56123,G&G|Antipasto|SPEC,GV - GRAB & GO
R-13164,G&G|Bagel Asst,GV - GRAB & GO
R-49556,G&G|Bar|Apple Cinn|Made Good,GV - GRAB & GO
R-54032,G&G|Bar|Camino|Bitter Sweet,GV - GRAB & GO
R-54030,G&G|Bar|Camino|Espresso,GV - GRAB & GO
R-54026,G&G|Bar|Camino|Milk,GV - GRAB & GO
R-54031,G&G|Bar|Camino|Salted Caramel,GV - GRAB & GO
R-49594,G&G|Bar|Granola|Mini Apple Cin,GV - GRAB & GO
R-47002,G&G|Bar|Kashi|Chocolate Banana,GV - GRAB & GO
R-47003,G&G|Bar|Kashi|Espresso Choco,GV - GRAB & GO
R-47005,G&G|Bar|Kashi|Pistachio Fig,GV - GRAB & GO
R-47004,G&G|Bar|Kashi|Raspberry Choco,GV - GRAB & GO
R-42266,G&G|Bar|Kind| Almond Caramel,GV - GRAB & GO
R-49856,G&G|Bar|Kind| Almond Coconut,GV - GRAB & GO
R-41889,G&G|Bar|Kind| Almond Mocha ,GV - GRAB & GO
R-49770,G&G|Bar|Kind| Honey Roast Nut,GV - GRAB & GO
R-41599,G&G|Bar|Kind|Almond Coconut,GV - GRAB & GO
R-52238,G&G|Bar|Kind|Almond Mint ,GV - GRAB & GO
R-41833,G&G|Bar|Kind|Almond Sea Salt ,GV - GRAB & GO
R-41888,G&G|Bar|Kind|Cashew Blueberry,GV - GRAB & GO
R-52641,G&G|Bar|Kind|Cashew Raspberry,GV - GRAB & GO
R-52642,G&G|Bar|Kind|Chia Apple Strawb,GV - GRAB & GO
R-55425,G&G|Bar|Kind|Chia Mango Apple ,GV - GRAB & GO
R-41890,G&G|Bar|Kind|Dark Choc Cherry,GV - GRAB & GO
R-49718,G&G|Bar|Kind|Fruit & Nut,GV - GRAB & GO
R-49833,G&G|Bar|Kind|Maple Glaze Pecan,GV - GRAB & GO
R-41832,G&G|Bar|Kind|Peanut Butter ,GV - GRAB & GO
R-19985,G&G|Bar|Nature's Path||Asst,GV - GRAB & GO
R-56013,G&G|Bar|Nature|Mixed Nut,GV - GRAB & GO
R-56012,G&G|Bar|Nature|Trail Fruit Nut,GV - GRAB & GO
R-45970,G&G|Bar|Nutrigrain|Blueberry,GV - GRAB & GO
R-52650,G&G|Bar|Nutrigrain|Mixed Berry,GV - GRAB & GO
R-16249,G&G|Bar|Solo|Asst,GV - GRAB & GO
R-38264,G&G|Bar|Solo|Chocolate,GV - GRAB & GO
R-55274,G&G|Bar|Solo|Chocolate Brownie,GV - GRAB & GO
R-38542,G&G|Bar|Solo|Chocolate Coconut,GV - GRAB & GO
R-38543,G&G|Bar|Solo|ChocolateMandarin,GV - GRAB & GO
R-38536,G&G|Bar|Solo|Lemon Lift,GV - GRAB & GO
R-38263,G&G|Bar|Solo|Mocha Fudge,GV - GRAB & GO
R-38545,G&G|Bar|Solo|Peanut Butter,GV - GRAB & GO
R-54631,G&G|Bar|Solo|Peanut Caramel ,GV - GRAB & GO
R-55416,G&G|Bar|Solo|Peanut Caramel.,GV - GRAB & GO
R-38270,G&G|Bar|Solo|Peanut Power,GV - GRAB & GO
R-38541,G&G|Bar|Solo|White Chocolate,GV - GRAB & GO
R-64334,G&G|Biscuit|Ham & Cheese|HC,GV - GRAB & GO
R-64899,G&G|Blackberry Tart|Uncle Ed,GV - GRAB & GO
R-49032,G&G|Box|Valentine's,GV - GRAB & GO
R-53421,G&G|Bread Pudding|SPEC,GV - GRAB & GO
R-65760,G&G|Brownie 2-Bite|Bulk,GV - GRAB & GO
R-55999,G&G|Burrito veg|SP,GV - GRAB & GO
R-49033,G&G|Cakes Hearts(2),GV - GRAB & GO
R-49034,G&G|Cakes Hearts(4),GV - GRAB & GO
R-14081,G&G|Cereal Cold|Large| & Milk,GV - GRAB & GO
R-14080,G&G|Cereal Cold|Large|Dry,GV - GRAB & GO
R-14079,G&G|Cereal Cold|Small| & Milk,GV - GRAB & GO
R-14078,G&G|Cereal Cold|Small|Dry,GV - GRAB & GO
R-31287,G&G|Cereal Hot|Congee,GV - GRAB & GO
R-56311,G&G|Cereal|Bear Naked|FruitNut,GV - GRAB & GO
R-30954,G&G|Chicken Breast,GV - GRAB & GO
R-56411,G&G|Chicken Stirfry|Tv Dinner,GV - GRAB & GO
