IngredientId,Qty,Uom,Conversion,InvFactor,Recipe
P-9857,5.000,Kg,1.00000000,1.1111,P-10112
P-48933,1.000,Kg,1.00000000,1.0000,P-10113
I-4626,16.000,CT,1.00000000,2.6667,P-10115
P-9755,1.000,lb,1.00000000,1.0000,P-10119
P-18746,1.000,Kg,1.00000000,1.0000,P-10241
P-18746,1.000,Kg,1.00000000,1.0000,P-10242
P-18746,1.000,Kg,1.00000000,1.0000,P-10243
I-3388,100.000,ml,0.00100000,2.5000,P-10264
I-37842,9.070,Kg,1.00000000,0.2268,P-10264
I-5983,40.000,L,1.00000000,1.0000,P-10264
I-3388,1.000,L,1.00000000,0.3058,P-10496
I-4658,2.270,Kg,2.20462000,0.6942,P-10496
I-1813,30.000,ml,0.03381406,9.3750,P-10502
I-6026,15.000,g,1.00000000,4.6875,P-10502
I-60772,3.000,L,1.00000000,0.9375,P-10502
P-41466,200.000,g,1.00000000,62.5000,P-10502
P-6605,100.000,g,0.00100000,31.2500,P-10502
P-45879,7.500,Kg,1.00000000,1.8750,P-10873
I-12176,4.000,g,0.00100000,0.3636,P-12112
I-1813,400.000,ml,0.03381406,36.3636,P-12112
I-3337,4.000,L,1.00000000,0.3636,P-12112
I-3387,100.000,ml,0.00100000,9.0909,P-12112
I-3447,199.000,ml,1.00000000,18.0909,P-12112
I-3507,6.000,L,1.00000000,0.5455,P-12112
I-3639,30.000,g,1.00000000,2.7273,P-12112
I-3642,4.000,g,1.00000000,0.3636,P-12112
I-3658,350.000,g,0.00100000,31.8182,P-12112
I-47774,200.000,ml,0.00100000,18.1818,P-12112
I-13327,0.750,pak,1.00000000,0.0125,P-12392
I-1559,15.000,ml,0.00100000,0.2500,P-12392
I-1561,15.000,ml,0.00100000,0.2500,P-12392
I-1564,15.000,ml,0.00100000,0.2500,P-12392
I-2217,3.000,ml,0.00100000,0.0500,P-12392
I-2501,0.250,pak,1.00000000,0.0042,P-12392
I-65799,3.000,ml,1.00000000,0.0500,P-12392
I-12176,10.000,g,0.00100000,0.0952,P-12421
I-2911,5.000,g,0.00100000,0.0476,P-12421
I-3629,5.000,g,0.03527399,0.0476,P-12421
I-3630,5.000,g,0.03527399,0.0476,P-12421
I-3640,75.000,g,1.00000000,0.7143,P-12421
I-3642,5.000,g,1.00000000,0.0476,P-12421
I-10871,2.000,lb,1.00000000,0.1000,P-12427
I-3387,74.000,ml,0.00100000,3.7000,P-12427
I-3435,0.500,L,1.00000000,0.0250,P-12427
I-3619,5.000,g,1.00000000,0.2500,P-12427
I-3649,20.000,g,1.00000000,1.0000,P-12427
I-4381,2.000,lb,1.00000000,0.1000,P-12427
I-4599,1.000,HEAD,1.00000000,0.0500,P-12427
I-4847,1.000,oz,0.06250000,0.0500,P-12427
I-4919,1.000,oz,0.06250000,0.0500,P-12427
I-5983,35.000,L,1.00000000,1.7500,P-12427
I-6781,20.000,Kg,1.00000000,1.0000,P-12427
I-7061,2.000,L,1.00000000,0.1000,P-12427
I-9662,40.000,lb,0.45359200,2.0000,P-12427
I-1468,0.250,fl oz,1.00000000,0.2500,P-12434
I-6020,1.000,oz,0.06250000,1.0000,P-12434
I-7061,2.000,cup,0.22720000,2.0000,P-12434
P-12435,2.000,L,1.00000000,2.0000,P-12434
P-12427,20.000,L,1.00000000,5.0000,P-12435
I-3435,1.000,Kg,1.01284000,0.0500,P-12502
I-3992,20.000,Kg,1.00000000,1.0000,P-12502
I-4589,1.000,Kg,2.20462000,0.0500,P-12502
I-4598,1.000,Kg,1.25000000,0.0500,P-12502
I-4745,2.000,Kg,2.20462000,0.1000,P-12502
I-5983,25.000,L,1.00000000,1.2500,P-12502
I-4598,1.000,CT,1.00000000,0.0013,P-12954
I-14177,227.000,g,0.00100000,9.4583,P-13019
I-2159,3.000,ea,1.00000000,0.1250,P-13019
I-2218,500.000,ml,0.00100000,20.8333,P-13019
I-3291,375.000,g,0.00100000,15.6250,P-13019
I-3449,100.000,ml,0.00100000,4.1667,P-13019
I-3660,50.000,g,0.00100000,2.0833,P-13019
I-6026,20.000,g,1.00000000,0.8333,P-13019
I-8060,0.500,g,1.00000000,0.0208,P-13019
P-9738,136.000,g,0.00100000,5.6667,P-13019
I-3838,4.000,Kg,1.00000000,1.3333,P-13389
P-12421,100.000,g,1.00000000,33.3333,P-13389
P-38515,0.500,Kg,1.00000000,0.1667,P-13389
P-9719,0.500,Kg,2.20462000,0.1667,P-13389
P-9784,0.500,Kg,1.00000000,0.1667,P-13389
I-3692,1.500,L,1.00000000,0.1875,P-13457
I-11842,2.000,LOAF,1.00000000,0.8818,P-13648
I-3388,125.000,ml,0.00100000,55.1146,P-13648
P-18907,10.000,g,1.00000000,4.4092,P-13648
I-33795,1.000,Kg,2.20462000,1.1765,P-13842
I-12180,1.000,CT,1.00000000,0.0333,P-13850
I-2661,1.000,PIE,1.00000000,0.0333,P-13850
I-2662,1.000,PIE,1.00000000,0.0333,P-13850
I-2664,1.000,PIE,1.00000000,0.0333,P-13850
I-2667,1.000,PIE,1.00000000,0.0333,P-13850
I-10282,1.000,Kg,2.20462000,1.2500,P-13881
I-11664,10.000,slice,0.03448276,0.3333,P-13890
I-12478,10.000,slice,1.00000000,0.3333,P-13890
I-1274,10.000,slice,1.00000000,0.3333,P-13890
I-3451,2.560,L,1.00000000,1.2800,P-13933
I-4507,1.000,piece,1.00000000,1.0000,P-13944
P-8429,1.000,Kg,1.00000000,0.2500,P-14067
P-8430,1.000,Kg,1.00000000,0.2500,P-14067
P-8795,1.000,Kg,1.00000000,0.2500,P-14067
P-8800,1.000,Kg,1.00000000,0.2500,P-14067
I-2156,1.000,Kg,1.00000000,1.0000,P-14069
I-5983,100.000,ml,0.00100000,100.0000,P-14069
I-17680,0.200,bag,1.00000000,0.0333,P-14076
I-29346,100.000,g,1.00000000,16.6667,P-14076
I-29347,100.000,g,1.00000000,16.6667,P-14076
I-29348,100.000,g,1.00000000,16.6667,P-14076
I-3187,100.000,g,1.00000000,16.6667,P-14076
I-34504,100.000,g,1.00000000,16.6667,P-14076
I-17680,0.400,bag,1.00000000,0.0667,P-14077
I-29346,200.000,g,1.00000000,33.3333,P-14077
I-29347,200.000,g,1.00000000,33.3333,P-14077
I-29348,200.000,g,1.00000000,33.3333,P-14077
I-3187,200.000,g,1.00000000,33.3333,P-14077
I-34504,200.000,g,1.00000000,33.3333,P-14077
I-2113,1.009,oz,0.02834950,0.5045,P-14135
I-3619,5.000,g,1.00000000,0.5000,P-14161
I-3649,10.000,g,1.00000000,1.0000,P-14161
I-3992,5.000,Kg,1.00000000,0.5000,P-14161
I-4590,907.184,g,0.00220462,90.7184,P-14161
I-4599,1.000,HEAD,1.00000000,0.1000,P-14161
I-4742,907.184,g,0.00220462,90.7184,P-14161
I-4919,56.699,g,0.00220462,5.6699,P-14161
I-5983,12.000,L,1.00000000,1.2000,P-14161
I-3334,1.000,Kg,1.00000000,0.0038,P-14192
I-5983,6.500,L,1.00000000,0.0246,P-14192
I-3182,90.000,g,0.00100000,90.0000,P-14199
I-5983,750.000,ml,0.00100000,250.0000,P-14200
P-14199,325.000,ml,0.00422676,108.3333,P-14200
I-2658,17.500,Kg,1.00000000,0.0324,P-14366
I-1471,0.250,Kg,2.20462000,0.1667,P-15325
I-2852,0.250,Kg,1000.00000000,0.1667,P-15325
I-3622,0.250,Kg,1.00000000,0.1667,P-15325
I-3630,0.250,Kg,35.27399000,0.1667,P-15325
I-5978,0.250,Kg,1000.00000000,0.1667,P-15325
P-18907,0.250,Kg,1000.00000000,0.1667,P-15325
I-3363,5.000,Kg,2.20462000,1.0000,P-15353
I-5983,1.750,L,1.00000000,0.3500,P-15353
I-4786,10.000,Kg,2.20462000,1.2048,P-16391
I-2141,1.000,Kg,1.00000000,0.0667,P-16986
P-26019,30.000,g,1.00000000,2.0000,P-16986
P-44728,500.000,g,1.00000000,33.3333,P-16986
P-45056,1.000,Kg,1.00000000,0.0667,P-16986
P-46357,2.000,Kg,1.00000000,0.1333,P-16986
P-51246,10.000,Kg,1.00000000,0.6667,P-16986
I-4679,1.000,BUNCH,1.00000000,0.0063,P-18318
I-4792,10.000,Kg,2.20462000,1.2048,P-18746
I-12176,0.500,Kg,1.00000000,0.0500,P-18781
I-4640,24.000,CT,1.00000000,2.4000,P-18781
I-5983,10.000,L,1.00000000,1.0000,P-18781
I-1813,30.000,ml,0.03381406,30.0000,P-18874
I-3434,25.000,g,0.00100000,25.0000,P-18874
I-4640,4.000,CT,1.00000000,4.0000,P-18874
I-4657,5.000,g,0.00220462,5.0000,P-18874
I-8235,125.000,ml,0.00100000,125.0000,P-18874
P-18907,10.000,g,1.00000000,10.0000,P-18874
I-3643,225.000,g,0.00100000,0.1837,P-18907
I-6026,1000.000,g,1.00000000,0.8163,P-18907
I-6807,2.270,Kg,2.20462000,1.4188,P-19175
I-4538,10.000,Kg,2.20462000,1.6393,P-19177
I-4590,10.000,Kg,2.20462000,1.2195,P-19208
I-4598,36.000,CT,1.00000000,2.3377,P-19209
I-3368,75.000,ml,1.00000000,75.0000,P-19292
I-3387,750.000,ml,0.00100000,750.0000,P-19292
I-3646,4.000,g,1.00000000,4.0000,P-19292
I-6006,75.000,ml,0.00100000,75.0000,P-19292
P-41913,15.000,ml,0.00100000,15.0000,P-19292
P-42499,25.000,ml,0.00100000,25.0000,P-19292
P-47149,15.000,g,1.00000000,15.0000,P-19292
P-7444,20.000,ml,0.00100000,20.0000,P-19292
I-4698,10.000,Kg,4.00000000,1.3514,P-20239
I-4593,12.000,CT,1.00000000,1.3333,P-20248
I-4967,11.360,Kg,2.20462000,1.0519,P-20249
I-4915,3.000,Kg,2.85714000,1.0714,P-20368
I-4341,10.000,CT,1.00000000,0.0278,P-20990
I-4626,10.000,CT,1.00000000,2.6316,P-21077
I-1020,0.042,SHEET,1.00000000,0.0420,P-22029
I-1048,1.000,slice,1.00000000,1.0000,P-22030
I-1016,0.042,SHEET,1.00000000,0.0420,P-22032
I-11824,0.042,SHEET,1.00000000,0.0420,P-22037
I-1064,0.033,SHEET,1.00000000,0.0330,P-22042
I-1067,0.033,SHEET,1.00000000,0.0330,P-22048
I-1065,0.033,SHEET,1.00000000,0.0330,P-22049
I-3159,1.000,bottle,1.00000000,0.0010,P-22247
I-3449,2.840,L,1.00000000,1.3786,P-22250
I-3144,2.840,L,1.00000000,1.5351,P-22251
I-1792,2.660,L,1.00000000,0.1429,P-22761
I-5983,15.960,L,1.00000000,0.8571,P-22761
I-1816,2.660,L,1.00000000,0.1667,P-22764
I-5983,13.300,L,1.00000000,0.8333,P-22764
I-1651,20.000,L,1.00000000,0.1667,P-22768
I-5983,100.000,L,1.00000000,0.8333,P-22768
P-69848,100.000,ml,1.00000000,100.0000,P-22963
I-13226,1000.000,g,0.00220462,153.8462,P-23151
I-3239,140.000,g,0.00100000,21.5385,P-23151
I-3592,20.000,g,0.00100000,3.0769,P-23151
I-4450,1.000,CT,1.00000000,0.1538,P-23151
I-6014,100.000,ml,0.00100000,15.3846,P-23151
P-33869,100.000,g,0.00100000,15.3846,P-23151
P-35258,200.000,g,0.00100000,30.7692,P-23151
P-38637,100.000,g,0.00100000,15.3846,P-23151
P-42425,800.000,g,1.00000000,123.0769,P-23151
P-50802,100.000,g,0.00100000,15.3846,P-23151
P-50966,900.000,g,0.00100000,138.4615,P-23151
P-51250,500.000,g,0.00100000,76.9231,P-23151
P-7420,300.000,g,0.00100000,46.1538,P-23151
P-7736,300.000,g,0.00100000,46.1538,P-23151
P-9721,300.000,g,0.00100000,46.1538,P-23151
P-9769,400.000,g,0.00220462,61.5385,P-23151
I-18918,400.000,g,0.00220462,34.7826,P-23310
I-2171,2.500,Kg,1.00000000,0.2174,P-23310
I-2172,2.500,Kg,1.00000000,0.2174,P-23310
I-2245,800.000,g,0.00100000,69.5652,P-23310
I-29242,340.000,g,0.00100000,29.5652,P-23310
I-30101,500.000,g,0.00100000,43.4783,P-23310
I-3222,50.000,g,0.00100000,4.3478,P-23310
I-3239,100.000,g,0.00100000,8.6957,P-23310
I-4531,500.000,g,0.00220462,43.4783,P-23310
I-4830,500.000,g,0.00100000,43.4783,P-23310
I-4907,700.000,g,0.00100000,60.8696,P-23310
I-5003,3.000,Kg,1.00000000,0.2609,P-23310
I-6850,1.300,Kg,1000.00000000,0.1130,P-23310
I-7185,500.000,g,0.00100000,43.4783,P-23310
I-19633,1.000,pak,1.00000000,0.3333,P-23837
I-5983,2.000,L,1.00000000,0.6667,P-23837
I-4381,1.000,lb,1.00000000,1.1111,P-24452
P-26514,500.000,g,1.00000000,1000.0000,P-24750
I-1813,30.000,ml,0.03381406,0.1200,P-25280
I-3434,200.000,g,0.00100000,0.8000,P-25280
I-3621,1.000,g,1.00000000,0.0040,P-25280
I-5983,60.000,ml,0.00100000,0.2400,P-25280
P-26019,23.000,g,1.00000000,0.0920,P-25280
P-7444,10.000,ml,0.00100000,0.0400,P-25280
I-12176,5.000,g,0.00100000,3.5336,P-25306
I-3623,14.174,g,1.00000000,10.0170,P-25306
I-3660,500.000,ml,0.00084535,353.3569,P-25306
I-3696,2.000,L,1000.00000000,1.4134,P-25306
I-4574,907.184,g,0.00220462,641.1194,P-25306
I-4635,453.592,g,0.00220462,320.5597,P-25306
I-4657,28.349,g,0.00220462,20.0346,P-25306
I-4660,28.349,g,0.00220462,20.0346,P-25306
I-3619,3.000,leaf,0.21476900,1.3233,P-25761
I-3649,10.000,g,1.00000000,4.4111,P-25761
I-3660,1.000,Kg,1.00000000,0.4411,P-25761
I-3698,2.000,L,1.00000000,0.8822,P-25761
I-4660,5.000,g,0.00220462,2.2056,P-25761
I-4757,2.267,Kg,2.20462000,1.0000,P-25761
I-6026,5.000,g,1.00000000,2.2056,P-25761
P-52036,2.000,g,1.00000000,0.8822,P-25761
I-4677,1.000,CT,1.00000000,0.0020,P-25871
I-4819,50.000,lb,1.00000000,2.3810,P-25893
P-18907,125.000,g,1.00000000,5.9524,P-25893
I-3642,1.000,Kg,1000.00000000,0.0002,P-25993
I-6026,5.000,Kg,1000.00000000,0.0008,P-25993
I-3643,225.000,g,0.00100000,0.1837,P-26019
I-6026,1000.000,g,1.00000000,0.8163,P-26019
I-3388,750.000,ml,0.00100000,300.0000,P-26020
I-4657,2.270,Kg,2.20462000,0.9080,P-26020
I-11185,1.100,Kg,35.27399000,0.3333,P-26021
I-5983,2.200,L,1.00000000,0.6667,P-26021
I-18918,2.260,Kg,2.20462000,1.7385,P-26022
I-3625,10.000,g,1.00000000,7.6923,P-26022
I-3658,250.000,g,0.00100000,192.3077,P-26022
P-50495,300.000,ml,0.00100000,230.7692,P-26022
I-2159,50.000,CT,1.00000000,1.0000,P-26047
I-5983,2.000,L,1.00000000,0.0400,P-26047
I-2911,15.000,g,0.00100000,3.7500,P-26048
I-3370,50.000,ml,1.00000000,12.5000,P-26048
I-3388,3.000,L,1.00000000,0.7500,P-26048
I-3692,1.000,L,1.00000000,0.2500,P-26048
I-5983,25.000,ml,0.00100000,6.2500,P-26048
P-18907,10.000,g,1.00000000,2.5000,P-26048
P-6605,30.000,g,0.00100000,7.5000,P-26048
I-2254,1.200,L,1.00000000,0.3000,P-26050
I-3370,100.000,g,0.95015160,25.0000,P-26050
I-3634,4.000,g,1.00000000,1.0000,P-26050
I-4695,50.000,g,0.00220462,12.5000,P-26050
I-4894,2.000,ea,0.05511550,0.5000,P-26050
I-6850,1.200,Kg,1000.00000000,0.3000,P-26050
I-8058,1.500,L,1.00000000,0.3750,P-26050
I-9379,50.000,ml,0.00100000,12.5000,P-26050
P-18907,25.000,g,1.00000000,6.2500,P-26050
P-26020,40.000,g,0.00100000,10.0000,P-26050
I-1813,600.000,ml,0.03381406,150.0000,P-26051
I-43722,1.600,Kg,1.00000000,0.4000,P-26051
I-5983,600.000,ml,0.00100000,150.0000,P-26051
I-60772,1.200,L,1.00000000,0.3000,P-26051
P-18907,15.000,g,1.00000000,3.7500,P-26051
P-26020,30.000,g,0.00100000,7.5000,P-26051
P-41407,45.000,g,1.00000000,11.2500,P-26051
P-50429,450.000,g,1.00000000,112.5000,P-26051
P-51538,45.000,g,0.00100000,11.2500,P-26051
I-1813,600.000,ml,0.03381406,162.1622,P-26053
I-3434,1.700,Kg,1.00000000,0.4595,P-26053
I-4695,50.000,g,0.00220462,13.5135,P-26053
I-5983,1.400,L,1.00000000,0.3784,P-26053
I-6026,4.000,g,1.00000000,1.0811,P-26053
P-26020,50.000,g,0.00100000,13.5135,P-26053
I-2897,300.000,g,0.00100000,30.0000,P-26054
I-3572,200.000,ml,0.00100000,20.0000,P-26054
I-3695,200.000,ml,0.00100000,20.0000,P-26054
I-5983,1.000,L,1.00000000,0.1000,P-26054
I-60772,4.000,L,1.00000000,0.4000,P-26054
P-25993,60.000,g,1.00000000,6.0000,P-26054
P-26020,200.000,g,0.00100000,20.0000,P-26054
I-2156,1.000,Kg,1.00000000,1.1765,P-26055
P-18907,5.000,g,1.00000000,5.8824,P-26055
I-2159,1.000,CT,1.00000000,1.0000,P-26057
I-3388,15.000,ml,0.00100000,15.0000,P-26057
P-18907,0.500,g,1.00000000,0.5000,P-26057
I-1813,250.000,ml,0.03381406,250.0000,P-26058
I-3388,750.000,ml,0.00100000,750.0000,P-26058
I-6443,400.000,ml,0.03381406,13.3333,P-26062
P-18907,250.000,g,1.00000000,8.3333,P-26062
P-24750,300.000,g,0.00100000,10.0000,P-26062
P-44429,23.000,Kg,1.00000000,0.7667,P-26062
P-56811,1.000,Kg,1.00000000,0.0333,P-26062
P-57499,5.000,Kg,1.00000000,0.1667,P-26062
I-1813,350.000,ml,0.03381406,26.9231,P-26067
I-19152,4.500,Kg,1.00000000,0.3462,P-26067
I-26960,6.000,L,1.00000000,0.4615,P-26067
I-2980,40.000,g,0.00100000,3.0769,P-26067
I-3336,4.000,L,1.00000000,0.3077,P-26067
I-3364,125.000,g,1.00000000,9.6154,P-26067
I-3388,225.000,ml,0.00100000,17.3077,P-26067
I-3447,200.000,ml,1.00000000,15.3846,P-26067
I-3595,75.000,ml,0.00100000,5.7692,P-26067
I-3639,70.000,g,1.00000000,5.3846,P-26067
I-3658,400.000,g,0.00100000,30.7692,P-26067
I-47774,250.000,ml,0.00100000,19.2308,P-26067
I-4894,225.000,g,0.00220462,17.3077,P-26067
I-6443,250.000,ml,0.03381406,19.2308,P-26067
P-18907,10.000,g,1.00000000,0.7692,P-26067
I-3388,250.000,ml,0.00100000,208.3333,P-26068
I-3660,15.000,g,0.00100000,12.5000,P-26068
I-8060,125.000,g,1.00000000,104.1667,P-26068
P-18907,15.000,g,1.00000000,12.5000,P-26068
P-19175,2.500,Kg,1.00000000,2.0833,P-26068
I-4463,10.000,g,0.00220462,0.6667,P-26069
P-18907,0.100,g,1.00000000,0.0067,P-26069
P-26058,5.000,ml,0.00100000,0.3333,P-26069
I-60772,4.000,L,1.00000000,0.8000,P-26074
I-6443,16.000,oz,0.92043824,3.2000,P-26074
I-9382,500.000,ml,0.00100000,100.0000,P-26074
P-18907,45.000,g,1.00000000,9.0000,P-26074
P-48495,50.000,g,1.00000000,10.0000,P-26074
P-7444,30.000,g,0.00100000,6.0000,P-26074
I-6026,1.000,g,1.00000000,0.2000,P-26075
P-26074,1.000,L,1.00000000,0.2000,P-26075
P-34293,3.000,Kg,1.00000000,0.6000,P-26075
P-44475,750.000,g,1.00000000,150.0000,P-26075
P-9712,2.000,Kg,1.00000000,0.4000,P-26075
I-11215,1.000,g,0.00220462,0.1990,P-26076
I-14179,285.000,g,0.00100000,56.7164,P-26076
I-17615,20.000,slice,1.00000000,3.9801,P-26076
I-2141,285.000,g,0.00100000,56.7164,P-26076
I-2251,4.000,L,1.00000000,0.7960,P-26076
I-3291,225.000,g,0.00100000,44.7761,P-26076
I-3619,1.000,g,1.00000000,0.1990,P-26076
I-4745,225.000,g,0.00220462,44.7761,P-26076
I-8060,225.000,g,1.00000000,44.7761,P-26076
P-18907,5.000,g,1.00000000,0.9950,P-26076
I-1813,125.000,ml,0.03381406,55.1146,P-26077
I-8060,4.000,lb,453.59200000,1.7637,P-26077
P-18907,45.000,g,1.00000000,19.8413,P-26077
P-44728,60.000,g,1.00000000,26.4550,P-26077
P-7444,335.000,g,0.00100000,147.7072,P-26077
I-3388,258.000,ml,0.00100000,15.1765,P-26086
I-3658,795.000,g,0.00100000,46.7647,P-26086
I-3660,2.320,Kg,1.00000000,0.1365,P-26086
I-47774,4.132,L,1.00000000,0.2431,P-26086
I-5983,10.330,L,1.00000000,0.6076,P-26086
P-34880,580.000,g,0.00100000,34.1176,P-26086
P-50495,517.000,ml,0.00100000,30.4118,P-26086
P-7444,587.000,g,0.00100000,34.5294,P-26086
I-36672,2.250,Kg,2.20462000,0.5000,P-26090
I-5983,3.500,L,1.00000000,0.7778,P-26090
I-11215,50.000,g,0.00220462,0.8772,P-26100
I-11218,250.000,g,0.00220462,4.3860,P-26100
I-17150,20.000,lb,1.00000000,0.3509,P-26100
I-3312,150.000,g,0.03527399,2.6316,P-26100
I-34065,50.000,Kg,1.00000000,0.8772,P-26100
I-5977,6.000,piece,1.00000000,0.1053,P-26100
I-5983,65.000,L,1.00000000,1.1404,P-26100
I-9685,1.000,lb,1.00000000,0.0175,P-26100
I-22915,5.000,Kg,1.00000000,0.1667,P-26101
I-29019,35.000,g,1.00000000,1.1667,P-26101
I-3992,7.500,Kg,1.00000000,0.2500,P-26101
I-4657,40.000,g,0.00220462,1.3333,P-26101
I-47774,200.000,ml,0.00100000,6.6667,P-26101
I-5983,25.000,L,1.00000000,0.8333,P-26101
I-6026,5.000,g,1.00000000,0.1667,P-26101
I-7949,375.000,ml,0.00100000,12.5000,P-26101
I-9685,150.000,g,0.00220462,5.0000,P-26101
P-43933,10.000,L,1.00000000,0.3333,P-26101
P-48933,100.000,g,0.00100000,3.3333,P-26101
P-50552,2.000,Kg,2.20462000,0.0667,P-26101
P-9863,100.000,g,1.00000000,3.3333,P-26101
I-10866,5.000,Kg,1.00000000,2.2046,P-26109
I-3388,50.000,ml,0.00100000,22.0459,P-26109
P-26019,2.000,g,1.00000000,0.8818,P-26109
P-41468,16.000,L,1.00000000,1.7637,P-26136
P-50547,11.360,Kg,2.20462000,1.2522,P-26136
I-3388,0.045,L,1.00000000,0.0305,P-26140
I-6026,15.000,g,1.00000000,10.1764,P-26140
I-6443,0.120,L,35.21126761,0.0814,P-26140
P-39167,0.225,Kg,1.00000000,0.1526,P-26140
P-44475,0.100,Kg,1000.00000000,0.0678,P-26140
P-48495,0.075,Kg,1000.00000000,0.0509,P-26140
P-56921,0.500,Kg,1000.00000000,0.3392,P-26140
P-56923,1.250,Kg,1000.00000000,0.8480,P-26140
P-7444,60.000,g,0.00100000,40.7056,P-26140
I-36672,2.260,Kg,2.20462000,0.4982,P-26143
I-5983,2.500,L,1.00000000,0.5511,P-26143
I-2911,20.000,g,0.00100000,1.6667,P-26144
I-30068,225.000,g,0.00220462,18.7500,P-26144
I-3388,500.000,ml,0.00100000,41.6667,P-26144
I-3435,300.000,g,0.00101284,25.0000,P-26144
I-3630,40.000,g,0.03527399,3.3333,P-26144
I-3640,80.000,g,1.00000000,6.6667,P-26144
I-36672,2.250,Kg,2.20462000,0.1875,P-26144
P-26020,60.000,g,0.00100000,5.0000,P-26144
P-32661,4.000,L,1.00000000,0.3333,P-26144
P-32678,4.000,Kg,1.00000000,0.3333,P-26144
P-38556,1.250,Kg,1.00000000,0.1042,P-26144
I-3312,500.000,g,0.03527399,74.0741,P-26164
I-3629,500.000,g,0.03527399,74.0741,P-26164
I-3630,375.000,g,0.03527399,55.5556,P-26164
I-3632,250.000,g,1.00000000,37.0370,P-26164
I-3637,250.000,g,1.00000000,37.0370,P-26164
I-3640,750.000,g,1.00000000,111.1111,P-26164
I-3643,500.000,g,0.00100000,74.0741,P-26164
I-3658,1500.000,g,0.00100000,222.2222,P-26164
I-3660,500.000,g,0.00100000,74.0741,P-26164
I-6026,1000.000,g,1.00000000,148.1481,P-26164
I-6466,625.000,g,1.00000000,92.5926,P-26164
I-1028,0.500,CT,1.00000000,0.5000,P-26170
P-26077,5.000,g,0.00100000,5.0000,P-26170
I-66145,22.000,Kg,1.00000000,1.3750,P-26182
P-26067,3.000,L,1.00000000,0.1875,P-26182
P-26164,1.100,Kg,1.00000000,0.0688,P-26182
I-3336,1.250,L,1.00000000,0.1389,P-26184
I-3364,454.000,g,1.00000000,50.4444,P-26184
I-3365,150.000,ml,0.00100000,16.6667,P-26184
I-3388,125.000,ml,0.00100000,13.8889,P-26184
I-3658,454.000,g,0.00100000,50.4444,P-26184
I-4745,1.500,Kg,2.20462000,0.1667,P-26184
I-5983,4.000,L,1.00000000,0.4444,P-26184
I-6026,80.000,g,1.00000000,8.8889,P-26184
I-7935,4.530,Kg,1.00000000,0.5033,P-26184
I-9382,150.000,ml,0.00100000,16.6667,P-26184
P-26164,100.000,g,0.00100000,11.1111,P-26184
I-37842,1.000,lb,0.45359200,0.5000,P-26188
I-5983,1.000,L,1.00000000,0.5000,P-26188
I-1813,500.000,ml,0.03381406,125.0000,P-26196
I-3370,3.000,Tbsp,14.78675000,0.7500,P-26196
I-3388,3.000,L,1.00000000,0.7500,P-26196
I-3660,2.000,Tbsp,0.01260000,0.5000,P-26196
I-3698,250.000,ml,0.00100000,62.5000,P-26196
I-4695,4.000,oz,0.06250000,1.0000,P-26196
I-4894,4.000,oz,0.06250000,1.0000,P-26196
I-6443,8.000,oz,0.92043824,2.0000,P-26196
P-26019,5.000,g,1.00000000,1.2500,P-26196
P-26020,0.500,oz,0.02834950,0.1250,P-26196
I-3388,1.000,cup,0.22720000,0.3333,P-26200
I-4913,5.000,lb,1.00000000,1.6667,P-26200
P-18907,45.000,g,1.00000000,15.0000,P-26200
I-3388,500.000,ml,0.00100000,444.8399,P-26205
I-4725,2.250,Kg,2.20462000,2.0018,P-26205
P-18907,20.000,g,1.00000000,17.7936,P-26205
I-3388,100.000,ml,0.00100000,34.4828,P-26216
I-3416,1.500,Kg,2.20462000,0.5172,P-26216
I-5983,20.000,L,1.00000000,6.8966,P-26216
I-6026,10.000,g,1.00000000,3.4483,P-26216
I-2948,3.000,Kg,1.00000000,0.7500,P-26226
I-3388,100.000,ml,0.00100000,25.0000,P-26226
I-3623,5.000,g,1.00000000,1.2500,P-26226
I-4657,65.000,g,0.00220462,16.2500,P-26226
P-18907,45.000,g,1.00000000,11.2500,P-26226
I-3388,0.500,cup,0.22720000,0.2500,P-26229
I-3408,1.000,lb,1.00000000,0.5000,P-26229
I-5983,2.000,L,1.00000000,1.0000,P-26229
I-6026,45.000,g,1.00000000,22.5000,P-26229
I-2217,4.000,L,1.00000000,0.0909,P-26310
I-4819,45.000,Kg,2.20462000,1.0227,P-26310
I-4919,300.000,g,0.00220462,6.8182,P-26310
I-8060,680.000,g,1.00000000,15.4545,P-26310
P-18907,75.000,g,1.00000000,1.7045,P-26310
I-1813,125.000,ml,0.03381406,0.5512,P-26323
I-3312,40.000,g,0.03527399,0.1764,P-26323
I-3388,125.000,ml,0.00100000,0.5512,P-26323
I-3623,8.000,g,1.00000000,0.0353,P-26323
I-3630,4.000,g,0.03527399,0.0176,P-26323
I-42230,10.000,g,1.00000000,0.0441,P-26323
P-26019,5.000,g,1.00000000,0.0220,P-26323
P-26020,60.000,g,0.00100000,0.2646,P-26323
P-44896,120.000,g,0.00100000,0.5291,P-26323
P-48495,100.000,g,1.00000000,0.4409,P-26323
I-22916,4.000,Kg,1.00000000,1.3841,P-26324
I-3118,5.000,g,0.00100000,1.7301,P-26324
I-6026,30.000,g,1.00000000,10.3806,P-26324
P-26323,125.000,g,1.00000000,43.2526,P-26324
I-1813,250.000,ml,0.03381406,83.3333,P-26333
I-60772,3.500,L,1.00000000,1.1667,P-26333
