ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-57000,BATCH|Roasted Carrots AR|Side,FEAST,125.0,71.28546025345622,1.6135455069124423,0.10456910522273424,2.6,45.51,57.03,1.29,2.08,36.41,0.08
R-56286,Beef Donair,FEAST,279.1000000000001,3822.784570462535,34.610287021058944,10.651879748119926,263.01,9020.1,1369.68,12.4,94.24,3231.85,3.82
R-63589,BENTO PORK DUMPLINGS,FT GRAB & GO,1.0,9.8315,0.1328,0.0210199999999999,1.81,54.24,983.15,13.28,181.0,5424.0,2.1
R-70967,BERKIPOPIMAINIHALIBUT,FEAST,793.6705,790.3419539685788,9.553779766062473,1.152599015278427,219.39,1937.95,99.58,1.2,27.64,244.18,0.15
R-71200,BERKIPOPIVEGETARIANIMUSHTART,FEAST,225.398,482.1885360294167,5.297546159050875,0.9835040303113617,90.5,3745.22,213.93,2.35,40.15,1661.6,0.44
R-38748,BERRIES & QUINOA SALAD W/ OW S,FT GRAB & GO,1.0,4.9798,0.0703,0.0069,1.58,8.48,497.98,7.03,158.0,848.0,0.69
R-64760,BEV\SMARTWATER  1L ANTIOX,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-64761,BEV\Water|Smart 1L Alkaline,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-23583,BEV|Coffee|12 oz,FT BEVERAGES,392.1,269.73498502526036,0.651695892485895,0.322973887238906,3.04,558.56,68.79,0.17,0.78,142.45,0.08
R-23584,BEV|Coffee|16 oz,FT BEVERAGES,512.1,316.4232667003471,0.6592445233145267,0.383418849651875,3.26,559.63,61.79,0.13,0.64,109.28,0.07
R-23635,BEV|Coffee|Ceramic|12oz,FT BEVERAGES,390.1,269.73498502526036,0.651695892485895,0.322973887238906,3.04,558.55,69.15,0.17,0.78,143.18,0.08
R-67307,BEV|Coffee|Ethical Bean Promo,BEVERAGE,414.029,349.44954035346575,0.0914444948025005,0.4534611250481708,0.79,49.97,84.4,0.02,0.19,12.07,0.11
R-52932,BEV|Cold Brew|Two Bears|Black,FT BEVERAGES,1.0,16.6995,0.0027,0.02162,0.03,0.34,1669.95,0.27,3.0,34.0,2.16
R-53123,BEV|Cold Brew|Two Bears|Latte,FT BEVERAGES,1.0,0.9943,0.00068,0.00077,0.07,2.45,99.43,0.07,7.0,245.0,0.08
R-52930,BEV|Cold Brew|Two Bears|Mocha,FT BEVERAGES,1.0,16.6995,0.0027,0.02162,0.03,0.34,1669.95,0.27,3.0,34.0,2.16
R-63859,BEV|Core Power Elite Chocolate,FT BEVERAGES,1.0,10.456,0.0027,0.06896,0.02,0.22,1045.6,0.27,2.0,22.0,6.9
R-64237,BEV|Core Power Shake Banana,FT BEVERAGES,1.0,0.7115,0.0027,0.00193,0.0,0.03,71.15,0.27,0.0,3.0,0.19
R-52790,BEV|Core Power|Chocolate,FT BEVERAGES,1.0,10.456,0.0027,0.06896,0.02,0.22,1045.6,0.27,2.0,22.0,6.9
R-48633,BEV|Core Power|StrawberryBanan,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R-52791,BEV|Core Power|Vanilla,FT BEVERAGES,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
