ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g
R-55145,DES|Cake|Valentine Choco Heart,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-40013,DES|Cheesecake|Chuckanut|Berry,FT DESSERTS,1.0,8.9104,0.0933,0.01046,1.56,80.46,891.04,9.33,156.0,8046.0,1.05
R-42345,DES|Cheesecake|Chuckanut|Choco,FT DESSERTS,1.0,8.9104,0.0933,0.01046,1.56,80.46,891.04,9.33,156.0,8046.0,1.05
R-23333,DES|Cheesecake|Chuckanut|GF,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-30535,DES|Cheesecake|Chuckanut|GF.,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-38924,DES|Cheesecake|Chuckanut|NY,FT DESSERTS,1.0,8.9104,0.0933,0.01046,1.56,80.46,891.04,9.33,156.0,8046.0,1.05
R-24556,DES|Cheesecake|Valentine|Slice,FT DESSERTS,1.0,8.9104,0.0933,0.01046,1.56,80.46,891.04,9.33,156.0,8046.0,1.05
R-55289,DES|Chocolate Pudding Praline,FT DESSERTS,270.0,613.9504253393666,4.79945701357466,0.6219067873302933,74.62,4291.46,227.39,1.78,27.64,1589.43,0.23
R-43301,DES|Churro,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-56141,DES|Cookie|Easter Egg|CK,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-34660,DES|Cookie|Easter Egg|Trump,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-56139,DES|Cookie|Easter Sugar,FT DESSERTS,1.0,1.6414,0.0,0.00239,0.01,0.07,164.14,0.0,1.0,7.0,0.24
R-40975,DES|Cookie|Festive,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-39459,DES|Cookie|Pumpkin Sugar|CK,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-39844,DES|Cookie|Pumpkin Sugar|CK.,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-49713,DES|Cookie|Shamrock,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-33034,DES|Cookie|Shortbread,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-40974,DES|Cookie|Shortbread.,FT DESSERTS,1.0,1.5225,0.0148,0.0,0.42,12.82,152.25,1.48,42.0,1282.0,0.0
R-19605,DES|Cookie|Small,FT DESSERTS,1.0,1.5225,0.014800000000000002,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-20399,DES|Cookie|Supreme Asst,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-55087,DES|Cookie|Valentine Heart|CK,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-49301,DES|Cookie|Valentine Heart|CK,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-55070,DES|Cookie|Valentine Heart|Tru,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-55069,DES|Cookie|Valentine Sandwich ,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-45849,DES|Cookie|Wendel's|Almond,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-40508,DES|Cookie|Wendel's|Choc Chip,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-40021,DES|Cookie|Wendel's|Ginger,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-20381,DES|Cookie|Wendel's|Ginger.,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-48895,DES|Cookie|Xmas|Ginger Bear,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-33032,DES|Cookie|Xmas|Ginger People,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-41328,DES|Cookie|Xmas|Ginger People.,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-48237,DES|Cookie|Xmas|GingerMan|Trum,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-33031,DES|Cookie|Xmas|Gingersnap,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-54261,DES|Cookie|Xmas|Snowflake,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-54186,DES|Cookie|Xmas|Tree/Bell,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-22313,DES|Eclair|Chocolate,FT DESSERTS,102.0,85.25999999999999,0.8288000000000001,0.27383999999999437,23.48,718.02,83.59,0.81,23.02,703.94,0.27
R-55862,DES|Hot Cross Bun,FT DESSERTS,1.0,1.6414,0.0,0.00239,0.01,0.07,164.14,0.0,1.0,7.0,0.24
R-22309,DES|Jello|Asst,FT DESSERTS,178.0,0.0,0.0,0.0,0.04,0.04,0.0,0.0,0.02,0.02,0.0
R-23335,DES|Muffin|Blueberry|GF,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-53141,DES|Pie|Lemon Meringue|Slice ,FT DESSERTS,170.5070000000002,259.5969075000003,2.5235036000000033,0.8337792299999839,71.48,2186.19,152.25,1.48,41.92,1282.17,0.49
R-24807,DES|Pie|Pecan & Cream|Slice,FT DESSERTS,150.0,195.7614575,0.7887116000000001,0.21921662999999997,0.86,856.21,130.51,0.53,0.57,570.81,0.15
R-22311,DES|Pie|Slice Asst,FT DESSERTS,142.511,199.43856597000197,1.9387131536000193,0.6405613054799932,54.91,1679.57,139.95,1.36,38.53,1178.55,0.45
R-48864,DES|Pudding|Brown Rice ,FT DESSERTS,186.75000000000173,260.0948137880096,1.763844052798179,0.25041745133424825,49.55,1122.63,139.27,0.94,26.53,601.14,0.13
R-23940,DES|Rice Krispy|Valentine,FT DESSERTS,1.0,2.5345,0.0053,0.00217,1.57,4.63,253.45,0.53,157.0,463.0,0.22
R-30499,DES|Soft Serve|8oz,FT DESSERTS,224.0,30.353814400000005,0.616214530909091,0.02303392,3.88,191.61,13.55,0.28,1.73,85.54,0.01
R-40497,DES|Square|Wendel's|Brownie,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-39816,DES|Square|Wendel's|Nanaimo,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-22314,DES|Square|Whole| Asst,FT DESSERTS,66.75000000000031,74.7104452500004,0.7262493200000039,0.23995670099999641,20.57,629.17,111.93,1.09,30.82,942.58,0.36
R-21283,DES|Square|Whole| Asst.,FT DESSERTS,66.75000000000031,74.7104452500004,0.7262493200000039,0.23995670099999641,20.57,629.17,111.93,1.09,30.82,942.58,0.36
R-22861,DES|Strudel|Asst,FT DESSERTS,0.9990000000000001,1.1573748000000001,0.010755900000000002,0.0034931699999999335,0.28,8.54,115.85,1.08,28.03,854.85,0.35
R-47092,DES|Tart||Pumpkin|CK,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-23889,DES|Tart|Butter,FT DESSERTS,63.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,2.42,0.02,0.67,20.35,0.01
R-33536,"DES|Tart|Lemon|3"" ",FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-33033,DES|Tart|Mincemeat Mini,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-40978,DES|Tart|Mincemeat|CK,FT DESSERTS,1.0,1.5225,0.0148,0.0,0.42,12.82,152.25,1.48,42.0,1282.0,0.0
R-40015,DES|Tart|Wendel's|Buttertart,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-22327,DES|Tart|Wendel's|Choc Pecan,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-39815,DES|Tart|Wendel's|Choc Pecan.,FT DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-24557,DESSERT|Choc.Valent|cookie,DESSERTS,1.0,1.5225,0.0148,0.0048899999999999,0.42,12.82,152.25,1.48,42.0,1282.0,0.49
R-40736,DIM SUM|Beef Balls (3),FT DIM SUM,150.0,4409.874,35.2635,0.0,194.97,7014.42,2939.92,23.51,129.98,4676.28,0.0
R-22843,DIM SUM|Bun| Chicken (1),FT DIM SUM,1.0,1.986875,0.038575000000000005,0.0,0.32,7.23,198.69,3.86,32.0,723.0,0.0
R-38424,DIM SUM|Bun|BBQ Pork (1),FT DIM SUM,40.0,227.07999999999998,2.952,0.0,44.59,1341.29,567.7,7.38,111.48,3353.22,0.0
R-54728,DIM SUM|Combo M&M,FT DIM SUM,175.86666666666687,2096.969836666668,15.623940000000013,0.0,180.29,6088.8,1192.36,8.88,102.52,3462.17,0.0
R-30481,DIM SUM|Gyoza Chicken (3),FT DIM SUM,120.0,238.42499999999998,4.629,0.0,38.7,867.49,198.69,3.86,32.25,722.91,0.0
R-30482,DIM SUM|Gyoza Veg (3),FT DIM SUM,82.50000000000014,83.54775000000014,0.9363750000000016,0.0,20.65,650.15,101.27,1.14,25.03,788.06,0.0
R-53045,DIM SUM|Shrimp Corn Dumpling 3,FT DIM SUM,3.0,25.502925,0.17452499999999999,0.0,2.89,96.47,850.1,5.82,96.33,3215.67,0.0
R-38421,DIM SUM|Shrimp Ha Gow (3),FT DIM SUM,75.0,849.3712499999999,3.19125,0.0,61.01,2308.47,1132.49,4.26,81.35,3077.96,0.0
R-38423,DIM SUM|Shrimp Pork Siu Mai(3),FT DIM SUM,90.0000000000001,765.0877500000009,5.235750000000006,0.0,86.77,2894.03,850.1,5.82,96.41,3215.59,0.0
R-22240,DIM SUM|SOUP|Won Ton,FT DIM SUM,500.0,231.67231822463864,2.65180973493305,0.7665256561620073,46.48,1525.94,46.33,0.53,9.3,305.19,0.15
R-61777,DIM SUM|Wonton|Deep Fried (3),FT DIM SUM,98.0000000000001,790.2949500000009,5.2373500000000055,0.1051199999999992,87.31,2933.54,806.42,5.34,89.09,2993.41,0.11
R-38420,DIM SUM|Wrap Sticky Rice|SIDE,FT DIM SUM,170.00000000000205,733.9376000000088,7.491900000000091,0.0,228.96,3259.5,431.73,4.41,134.68,1917.35,0.0
R-68193,DNR||Blueberry Compote|SIDE,FEAST,60.0,151.7578568476878,0.23241600580608096,0.09473280090316814,30.0,1199.19,252.93,0.39,50.0,1998.65,0.16
R-54079,DNR||Grilled Cheese|Italian,FT GRILL FREATURES,227.00000000000003,1331.5793555572855,14.228073695078763,2.1201124867125967,200.35,8280.86,586.6,6.27,88.26,3647.96,0.93
R-24157,DNR|Add Bacon|2 pcs,FT GRILL DAY,20.0,560.3955,7.569600000000001,1.1981399999999942,103.19,3091.83,2801.98,37.85,515.95,15459.15,5.99
R-61823,DNR|BlackBean Hash|VEGAN,FT GRILL BREAKFAST,267.0,646.9180225387141,6.641976225875037,1.8809389336891886,70.29,2128.18,242.29,2.49,26.33,797.07,0.7
R-56987,DNR|Blood Orange Pancake|2 PC,FT GRILL BREAKFAST,175.87375,315.653296586,1.3476061893333333,0.6865027260999916,37.63,1130.3,179.48,0.77,21.4,642.68,0.39
R-67593,DNR|Buffalo Chicken Fries,FT GRILL FREATURES,345.0,677.0457237139874,9.973546994237404,1.3295443401032843,57.24,1358.43,196.25,2.89,16.59,393.75,0.39
R-70769,DNR|Buffalo Wings|TAILGATE,FEAST,432.5,1482.2466551741848,34.578878487930176,3.5052415847703724,118.06,1496.95,342.72,8.0,27.3,346.12,0.81
R-71655,DNR|Burger|bacon & Egg,FT GRILL FREATURES,231.40000000000015,971.187837394481,11.743447459415593,2.384071504058437,142.09,4373.83,419.7,5.07,61.4,1890.16,1.03
R-61828,DNR|Burger|Bacon Blue,FT GRILL FREATURES,149.00000000000003,1008.5675800000002,12.225760000000005,1.8195439999999947,172.68,6657.45,676.89,8.21,115.89,4468.09,1.22
R-50706,DNR|Burger|Bacon Jam & Egg,FT GRILL FREATURES,178.60000028000024,748.4157211224936,9.792556369544375,1.4285511170743719,118.42,4132.17,419.05,5.48,66.3,2313.65,0.8
R-54583,DNR|Burger|BBQ Chicken,FT GRILL FREATURES,244.80000000000115,882.1936253673537,18.79996933257764,2.087128158805762,63.58,462.36,360.37,7.68,25.97,188.87,0.85
R-71328,DNR|Burger|Buffalo chicken,FT GRILL FREATURES,293.0,663.3350673391519,12.781002781790447,1.368149111046964,49.38,1502.79,226.39,4.36,16.85,512.9,0.47
R-26776,DNR|Burger|Classic Beef,FT GRILL DAY,142.40000000000003,176.21412094615386,1.4095751769230773,0.2601374253846153,9.93,443.44,123.75,0.99,6.97,311.4,0.18
R-50697,DNR|Burger|Classic Cheese,FT GRILL DAY,136.40000028000006,279.7639940293012,2.3890869677529607,0.35364566360753297,28.49,1449.9,205.11,1.75,20.89,1062.98,0.26
R-62685,DNR|Burger|Classic Chicken,FT GRILL DAY,219.4000000000011,804.1708406292584,18.289432448979753,1.9622762193877727,60.76,322.01,366.53,8.34,27.69,146.77,0.89
R-51200,DNR|Burger|Feast Beast ,FEAST,249.40000000000006,932.1385945997336,11.406441169211746,1.887418861048261,144.23,4998.19,373.75,4.57,57.83,2004.09,0.76
R-52805,DNR|Burger|FEAST SIGNATURE,FT GRILL DAY,208.40000028000009,848.4952565089102,10.310714713198694,1.6127580215017705,134.94,4665.4,407.15,4.95,64.75,2238.68,0.77
R-51202,DNR|Burger|Garden Chicken,FT GRILL FREATURES,238.80000000000115,907.4200072959251,19.503601198979755,2.0658062193877726,81.92,1415.64,379.99,8.17,34.3,592.81,0.87
R-50662,DNR|Burger|Greek Chicken,FT GRILL DAY,249.80000000000115,1005.7916750947552,20.74603864679242,2.3267014226958693,99.34,2274.16,402.64,8.31,39.77,910.39,0.93
R-26781,DNR|Burger|Hawaiian Chicken,FT GRILL DAY,269.4000000000011,1078.4043932264806,19.85828223667817,2.8330442906179183,112.09,1801.74,400.3,7.37,41.61,668.8,1.05
R-50704,DNR|Burger|Kim chi ,FT GRILL FREATURES,162.40000000000003,158.9247103315949,1.4593024538866823,0.30707763745411243,9.54,456.74,97.86,0.9,5.87,281.24,0.19
R-50709,DNR|Burger|Onion Ring ,FT GRILL FREATURES,186.40000028000006,339.03619147678023,2.993188149475649,0.5424233211705575,32.73,1627.79,181.89,1.61,17.56,873.28,0.29
R-51203,DNR|Burger|Queso Fiesta ,FT GRILL FREATURES,157.0,502.80800208740243,4.28589855180653,1.1360518072347294,75.33,3113.37,320.26,2.73,47.98,1983.04,0.72
R-50702,DNR|Burger|Spicy black bean,FEAST,131.40000028000006,275.03217681309394,2.1465020715785466,0.6869372983833454,27.39,1415.83,209.31,1.63,20.84,1077.5,0.52
R-50655,DNR|Burger|Swiss Mushroom,FT GRILL DAY,166.40000028000006,308.8328078429236,2.6427341048393336,0.42224950720928134,31.52,1570.86,185.6,1.59,18.94,944.03,0.25
R-64843,DNR|Burger|Tandoori TMRW|VEGAN,FEAST,192.07999999999998,195.31756482207467,1.919238766012811,0.22195672964734015,18.64,907.18,101.69,1.0,9.7,472.29,0.12
R-44876,DNR|Buttermilk Pancakes|2 pcs,FT GRILL BREAKFAST,228.33333333333348,226.1130000000001,1.4800000000000013,0.5965499999999904,42.46,1285.19,99.03,0.65,18.6,562.86,0.26
R-70798,DNR|Dog|Cheesesteake|TAILGATE,FEAST,226.00000000000048,5276.005100085724,41.98166832654467,15.597154291629584,227.18,9184.38,2334.52,18.58,100.52,4063.88,6.9
R-70797,DNR|Dog|Kansas City|TAILGATE,FEAST,201.00000000000048,5663.528956666686,48.96881361772503,16.65011377910058,326.8,11166.09,2817.68,24.36,162.59,5555.27,8.28
R-52754,DNR|Egg Almost Any Style|Side,FT GRILL BREAKFAST,52.00000000000008,193.09445142857174,3.0607928571428618,0.3903757142857149,31.65,931.1,371.34,5.89,60.87,1790.58,0.75
R-26788,DNR|Fries|Potato,FT GRILL DAY,200.1,134.04966571428574,1.2541214285714286,0.2711428571428561,1.33,69.02,66.99,0.63,0.66,34.49,0.14
R-71601,DNR|FRIES|Spicy Spiral,FT GRILL FREATURES,200.0,79.4,1.0,0.104,0.52,15.66,39.7,0.5,0.26,7.83,0.05
R-50669,DNR|Grilled Cheese|Bacon Avo,FT GRILL FREATURES,269.00000056000005,1513.1256367345254,16.58698629267315,2.499800889901972,231.59,9222.61,562.5,6.17,86.09,3428.48,0.93
R-50665,DNR|Grilled Cheese|Classic,FT GRILL DAY,187.00000056000002,938.3193605471096,8.916073747326763,1.2793124925702009,127.94,6111.15,501.78,4.77,68.42,3267.99,0.68
R-54762,DNR|Grilled Cheese|Ham&Cheese,FT GRILL FREATURES,207.00000056000002,1134.9493605471093,11.572073747326762,1.6997124925701987,164.14,7196.0,548.28,5.59,79.29,3476.33,0.82
R-28254,DNR|Grilled Cheese|PestoTomato,FT GRILL FREATURES,248.0,876.5163155572856,8.428443695078762,1.1474004867126009,113.4,5408.54,353.43,3.4,45.73,2180.86,0.46
R-61825,DNR|Grilled Cheese|Philly,FT GRILL FREATURES,242.00000084,2111.5690250533,18.346458814453435,4.868404810930048,177.14,7912.21,872.55,7.58,73.2,3269.51,2.01
R-61826,DNR|Grilled Cheese|Pulled Pork,FT GRILL FREATURES,247.00000056000002,1600.114165785205,17.84045006346433,2.6899783351627864,248.93,9743.87,647.82,7.22,100.78,3944.89,1.09
R-50668,DNR|Grilled Cheese|Spicy Jalap,FT GRILL FREATURES,227.00000084,966.0521009060992,9.351724258887657,1.3449357964698745,132.42,6273.25,425.57,4.12,58.33,2763.55,0.59
R-67998,DNR|Grilled Cheese|Turkey&Swis,FT GRILL FREATURES,187.99999981000005,879.5677572474098,9.361873659726767,1.305522483937701,111.66,4989.67,467.86,4.98,59.39,2654.08,0.69
R-67920,DNR|Hashbrowns|RATIO,FT GRILL BREAKFAST,605.0,253.15757142857146,3.009642857142857,0.35628571428571426,1.6,47.29,41.84,0.5,0.26,7.82,0.06
R-57004,DNR|Hearty VeganChili|TAILGATE,FT HOMESKILLET,308.0,298.3413847800879,2.704465119222674,1.1331073381798453,21.65,1116.16,96.86,0.88,7.03,362.39,0.37
R-71297,DNR|Mini Corndogs,FEAST,28.0,61.0702,0.02025,0.00522,0.13,1.05,218.11,0.07,0.46,3.75,0.02
R-56090,DNR|Onion Ring|SIDE,FT GRILL FREATURES,235.0,123.42155581395349,1.4218348837209303,0.09867883720930233,0.8,24.76,52.52,0.61,0.34,10.54,0.04
R-71656,DNR|Onion Rings,FT GRILL FREATURES,230.0,223.22966362126246,2.0031138704318936,0.6020072757475048,3.07,194.51,97.06,0.87,1.33,84.57,0.26
R-70032,DNR|Pancake|Apple Cinnamon,FEAST,170.87375,197.46376,1.5890583333333335,0.5244199999999916,49.2,1200.03,115.56,0.93,28.79,702.29,0.31
R-53360,DNR|Pancake|BananaCaramel|2pc,FT GRILL DAY,444.1666666666674,425.42071153846217,2.557532051282057,1.0950519230769082,70.98,2144.04,95.78,0.58,15.98,482.71,0.25
R-68919,DNR|Pancake|Blueberry,FT GRILL BREAKFAST,130.87375,278.6328568476878,1.4657493391394143,0.5022328009031597,65.02,2267.75,212.9,1.12,49.68,1732.78,0.38
R-70992,DNR|Pancake|Blueberry basil,FEAST,273.3333333333335,323.51358000000016,1.7741000000000013,0.5686679999999904,82.56,2910.66,118.36,0.65,30.2,1064.88,0.21
R-50634,DNR|Pancake|Peaches & Cream,FT GRILL DAY,385.0,518.845633,2.9367904166666663,0.9377074999999895,45.46,2709.94,134.77,0.76,11.81,703.88,0.24
R-50647,DNR|Pancake|Pumpkin Spice|2PC,FT GRILL BREAKFAST,140.0,707.8557916666667,4.3267375,1.3712149999999832,73.51,4029.24,505.61,3.09,52.51,2878.03,0.98
R-51192,DNR|Pancake|Rasp Choc Chip,FT GRILL BREAKFAST,400.0000000000041,387.8091660000034,2.887320000000034,1.0029309999999922,95.15,3056.49,96.95,0.72,23.79,764.12,0.25
R-26799,DNR|Pancakes|Blueberry|2PC,FT GRILL BREAKFAST,273.3333333333335,326.9308325220002,1.7681962450000013,0.5783189399999904,82.49,2907.83,119.61,0.65,30.18,1063.84,0.21
R-26786,DNR|Poutine|Classic,FT GRILL DAY,275.0,635.0782138322191,6.58531778868039,0.8305412946304345,94.74,4886.89,230.94,2.39,34.45,1777.05,0.3
R-71518,DNR|Roasted Mushrooms,FEAST,125.0,87.91905527950311,1.2059931677018634,0.23504590062111805,12.41,448.4,70.34,0.96,9.93,358.72,0.19
R-56458,DNR|Sandwich|Crispy Cod,FEAST,171.0,655.5308564155008,8.684151921623284,0.9149842396012817,191.88,1107.14,383.35,5.08,112.21,647.45,0.54
R-71651,DNR|SauteeSpinach & Kale|SIDE,FT GRILL BREAKFAST,150.0,233.64840535714288,1.6429307142857148,0.9104791785714287,14.44,558.79,155.77,1.1,9.63,372.53,0.61
R-27422,DNR|Scrambled Eggs|SIDE,FT GRILL BREAKFAST,150.0,610.7485857142857,10.200321428571428,1.1414761904761905,105.48,3103.51,407.17,6.8,70.32,2069.01,0.76
R-46336,DNR|Side Grilled Tomato|1pc,FT GRILL BREAKFAST,90.0000000000001,79.03482271062279,0.8110146520146531,0.054303663003663065,7.9,459.6,87.82,0.9,8.78,510.67,0.06
R-27334,DNR|Spiced French Toast,FT GRILL BREAKFAST,288.0,1232.0893339774802,10.4814059697556,1.7761576902620773,85.08,5223.53,427.81,3.64,29.54,1813.73,0.62
R-71577,DNR|Toast|Smashed Chickpea ,FEAST,105.5,217.56058199999998,0.8854279999999999,1.4510862,1.17,48.07,206.22,0.84,1.11,45.56,1.38
R-67562,DNR|Tuna Melt,FT GRILL FREATURES,256.50000028,833.422421581568,10.877471258762803,1.0819384083894474,221.79,2493.83,324.92,4.24,86.47,972.25,0.42
R-27423,DNR|Turkey Bfast Sausage|Side,FT GRILL BREAKFAST,75.0000187500047,329.9700824925207,8.760002190000549,0.863250215812554,27.77,25.01,439.96,11.68,37.03,33.35,1.15
R-71576,DNR|Vegan Breakfast|PLATE,FEAST,136.00000000000048,471.74865091836915,7.599548979591866,0.9260768877551053,78.74,2337.74,346.87,5.59,57.9,1718.93,0.68
R-71355,DNR|Wrap|Chicken Bacon Ranch,SPECIALS,322.5000000000007,1490.1571892793631,21.844472317559905,3.168433129552433,206.03,6695.54,462.06,6.77,63.89,2076.14,0.98
R-52788,DNRlPhilly Cheese Steak,FEAST,130.25,3035.0073611009866,24.675436386313496,8.857672208646509,147.1,5826.26,2330.14,18.94,112.94,4473.14,6.8
R-54780,DO NOT USE,FEAST,1000.0,7905.951203562804,106.07903491785827,17.20496814098976,1402.21,42059.14,790.6,10.61,140.22,4205.91,1.72
R-55810,do not use..,SPECIALS,230.0,252.97439357235643,1.9503454907338025,0.2837972548423012,10.96,496.55,109.99,0.85,4.77,215.89,0.12
R-67030,DONUTS (Hillcrest),DESSERTS,1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.0
R-62191,DRESSED|Arugula|SIDE,FT GRILL BREAKFAST,65.0,101.1885151020408,0.37032448979591837,0.36884897959183677,2.61,122.16,155.67,0.57,4.02,187.94,0.57
R-64331,DRIED MANGO,FT GRAB & GO,1.0,0.4306,0.0027,0.00071,0.0,0.0,43.06,0.27,0.0,0.0,0.07
R-64911,DSRT|HAND PIE A LA MODE,FT DESSERTS,114.398,456.6135674000001,1.8482176,0.4220446199999886,2.16,2004.81,399.14,1.62,1.89,1752.49,0.37
R-24630,EVENT|Bev|Strawberry Milkshake,FT BEVERAGES,360.0,1172.43936,6.5217600000000004,1.0533599999999639,50.05,5395.16,325.68,1.81,13.9,1498.66,0.29
R-54947,FEAT|Black bean soup|350ml,GV - CALIENTE,415.0,827.477671962213,4.774390760861014,4.008079763782274,68.11,2753.72,199.39,1.15,16.41,663.55,0.97
R-54329,FLEX\ TofuTeriyaki bowl,FEAST,632.0,800.0505663768116,3.3648891020280125,1.9598157874396134,243.1,1037.64,126.59,0.53,38.47,164.18,0.31
R-55840,FLEX|Baked Pasta,FEAST,250.0,252.38495601723943,2.7104237239226165,0.0,37.37,1634.25,100.95,1.08,14.95,653.7,0.0
R-54328,FLEX|Japchae Noodles&Vegetable,FEAST,345.0,439.86062989578426,5.27756981533256,1.0291038440615412,76.02,3633.35,127.5,1.53,22.03,1053.14,0.3
R-55948,FLEX|Mexican Yam Bowl,FEAST,485.0,536.4764176334235,2.7122513339837226,1.0284847086263202,129.18,867.22,110.61,0.56,26.64,178.81,0.21
R-55947,FLEX|Ramen Bowl,FEAST,707.0,468.98748372131115,3.504784790704334,1.2719205605912842,49.69,1489.49,66.33,0.5,7.03,210.68,0.18
R-62600,FLEX|Salad|Thai Cucumber,FEAST,211.0,181.8600869370302,1.8366470059142812,0.3829595436853459,34.15,1942.47,86.19,0.87,16.18,920.6,0.18
R-55969,FLEX|Side Salad|Strawberry vin,FEAST,135.0,169.0558328828829,0.9083839066339067,0.6419509705159705,7.5,333.33,125.23,0.67,5.56,246.91,0.48
R-55939,FLEX|Singapore Beef plate,FEAST,275.0,4858.811952999257,37.959000941652846,14.58305040779033,268.38,7310.59,1766.84,13.8,97.59,2658.4,5.3
R-55940,FLEX|Singapore Tofu Plate,FEAST,275.0,390.7379718080347,1.439878684599559,0.7800410034016146,79.84,395.36,142.09,0.52,29.03,143.77,0.28
R-53848,FLEX|Spicy Caesar|SIDE,FT OASIS/CHAAT,145.0,300.3778116181661,2.838079778439157,0.5892195932539687,35.76,1719.55,207.16,1.96,24.66,1185.9,0.41
R-55373,FLEX|Teriyaki Beef Bowl,FEAST,552.0,7088.899387930804,54.633659724441564,21.454068651145764,468.62,10640.59,1284.22,9.9,84.89,1927.64,3.89
