PrepId,Description,PakQty,PakUOM,InventoryGroup,StdQty,StdUom,GHG Emission (g),GHG Emission(g)/StdUom,N lost (g),N lost (g)/StdUom,Freshwater Withdrawals (ml),Freshwater Withdrawals (ml)/StdUom,Stress-Weighted Water Use (ml),Stress-Weighted Water Use (ml)/StdUom,Land Use (m^2),Land Use (m^2)/StdUom
P-71854,BATCH|Lemon Scented Ricotta,1.01,Kg,,1010.0,g,9407.092079470733,9.313952553931419,96.70200054432009,0.09574455499437633,1606424.007539841,1590.5188193463773,82158430.27125284,81344.98046658697,10.989200084672014,0.010880396123437637
P-41727,BATCH|Lentil & Squash Stew,15.0,PTN,,4927.0,g,3208.9832015227275,0.6513057035767663,23.36958014136917,0.004743166255605676,101793.63286956036,20.66036794592254,4251707.428940993,862.9404158597509,15.274889780454545,0.0031002414817240804
P-55301,BATCH|Lettuce Wrap Tofu,6.5,Kg,FEAST,6500.0,g,10013.055685500642,1.5404701054616372,38.95041686886184,0.005992371825978745,104126.71253657837,16.01949423639667,2934258.5061462447,451.42438556096073,24.997220401777582,0.0038457262156580897
P-55239,BATCH|Lettuce Wrap|PORK LARB,6.2,Kg,FEAST,6200.0,g,51004.64476927545,8.226555607947654,675.4049510165835,0.10893628242202959,9142643.062681742,1474.6198488196358,274703960.5309691,44307.09040822082,112.04478583283016,0.018071739650456477
P-56930,BATCH|Lime Crema|Dressing,4.25,L,PREP,4250.0,ml,16563.268433278376,3.897239631359618,57.24540022793404,0.01346950593598448,73194.80315730866,17.222306625249097,61547627.11358713,14481.794614961678,15.768840035456407,0.003710315302460331
P-70223,BATCH|Mac & Cheese ,11.0,Kg,,11000.0,g,16190.307074314547,1.4718460976649588,166.147030071084,0.015104275461007637,3216900.785347381,292.445525940671,143440646.12810358,13040.058738918508,26.941477684902857,0.002449225244082078
P-48263,BATCH|Mac & Cheese(Combined),12.0,Kg,,12000.0,g,27099.007400401504,2.2582506167001255,265.7509431145623,0.022145911926213523,5020424.589695208,418.368715807934,234975213.5194079,19581.26779328399,45.89777116316369,0.0038248142635969743
P-65593,BATCH|Mango Pineapple Salsa,993.0,g,,993.0,g,465.6564449146429,0.4689390180409294,4.979725035556244,0.005014828837418172,30050.24695522508,30.262081525906424,1012051.9223369648,1019.1862259183935,0.8740165981829449,0.0008801778430845366
P-54363,BATCH|Maple Oat Smoothie Base,3.6,L,,3600.0,ml,6776.907999999999,1.8824744444444443,6.442,0.0017894444444444444,555622.0,154.33944444444444,20107038.0,5585.288333333333,20.206799999999998,0.005612999999999999
P-51245,BATCH|Mapo Tofu|Base,2.75,Kg,,2750.0,g,3249.8698810863016,1.1817708658495643,22.010130023636698,0.0080036836449588,139511.52843267826,50.731464884610276,4969720.632934929,1807.171139249065,8.947561246441701,0.0032536586350697095
P-56381,BATCH|Marinate|Chicken Karaage,4.6,Kg,,4600.0,g,22321.595000000005,4.852520652173914,590.3725,0.12834184782608696,1859461.25,404.23070652173914,2012681.25,437.53940217391306,57.97249999999999,0.012602717391304346
P-68034,BATCH|Marinated Bocconcini,3.0,Kg,PREP,3000.0,g,26731.199999999997,8.9104,280.575,0.093525,4679922.5,1559.9741666666666,241502792.50000003,80500.93083333335,31.380000000000003,0.01046
P-67543,BATCH|Marinated Jerk Chicken,1.2,Kg,,1200.0,g,8992.679495238095,7.493899579365079,183.34528825396825,0.1527877402116402,618060.0692063492,515.0500576719577,4508327.171428571,3756.9393095238097,25.51764526984127,0.021264704391534394
P-54677,BATCH|Marinated Tofu|GRILLED,6.8,Kg,,6800.0,g,12679.25,1.864595588235294,92.01,0.013530882352941177,223660.0,32.891176470588235,8709220.0,1280.7676470588235,29.010999999999996,0.004266323529411764
P-56429,BATCH|Mediterranean Veg ,1.7,Kg,,1700.0,g,986.2344708571429,0.5801379240336135,12.832713714285715,0.007548655126050421,139831.95885714283,82.25409344537813,5376392.068571429,3162.583569747899,2.685692228571429,0.0015798189579831934
P-67708,BATCH|Mexican Casserole,1.89,Kg,,1890.0,g,5074.9189711239715,2.685142312764006,44.7835048538782,0.02369497611316307,676366.20299847,357.86571587220635,32729633.111838516,17317.266196739954,11.053141514328853,0.0058482230234544194
P-68081,BATCH|Mexican Cauliflower,1.2,Kg,,1200.0,g,1675.7264706380577,1.3964387255317148,13.36552583286279,0.011137938194052325,105190.50451722191,87.65875376435159,5119743.77442123,4266.453145351025,6.125391022021457,0.005104492518351214
P-71461,BATCH|Mexican Cauliflower Rice,7.8,Kg,PRODUCTION FOOD,7800.0,g,8750.92463288903,1.1219134144729526,64.92161399005836,0.008323283844879277,532194.0048259898,68.23000061871664,26219398.79483391,3361.4613839530653,38.824787934753395,0.004977536914711974
P-67530,BATCH|Mexican Lasagna,16.0,each,,4032.0,g,6334.748713235296,1.5711182324492303,70.70555147058826,0.01753609907504669,1187343.7132352947,294.48008760796,53571219.81617649,13286.512851234249,10.449937499999947,0.0025917503720237966
P-62010,BATCH|Mushroom & Broccoli|BASE,5.0,Kg,,5000.0,g,4178.129025020862,0.8356258050041724,57.5582419715201,0.01151164839430402,464192.65759509004,92.838531519018,18846611.57129398,3769.322314258796,13.376006841368534,0.002675201368273707
P-61878,BATCH|Mushroom Thai Larb,1.75,Kg,,1750.0,g,1248.1534554870395,0.7132305459925941,16.34675319186544,0.009341001823923108,192590.47223474522,110.0516984198544,5691443.64518183,3252.2535115324745,3.264662042453597,0.0018655211671163411
P-60390,BATCH|Nutella BananaBread Pud,1.25,Kg,,1250.0,g,11953.667000000025,9.56293360000002,59.51670000000022,0.047613360000000174,590307.8200000059,472.24625600000473,34535553.66000018,27628.442928000146,38.018259999999984,0.030414607999999985
P-56427,BATCH|Olive Tapenade ,520.0,g,,520.0,g,952.0940233108109,1.8309500448284826,4.226247635135135,0.008127399298336797,66432.08952702703,127.75401832120582,2650154.5398648647,5096.451038201662,3.293737804054054,0.006334111161642412
P-56766,BATCH|Oven Roasted Tomatoes,454.0,g,,454.0,g,630.2386428571428,1.3881908432976715,3.9782857142857146,0.008762743864065451,52876.642857142855,116.46837633731906,3338785.9285714286,7354.154027690372,1.3705214285714287,0.0030187696664568915
P-54685,"BATCH|Oyster Mush ""Calamari""",4.0,Kg,,4000.0,g,1847.833642857143,0.4619584107142858,22.024585714285713,0.005506146428571428,227219.6428571429,56.804910714285725,8098770.328571429,2024.6925821428572,4.6037614285714294,0.0011509403571428574
P-44410,BATCH|Palak Paneer,33.0,Kg,,33000.0,g,196121.7863669533,5.943084435362222,2028.9318636663731,0.06148278374746585,32667117.03763215,989.9126375040045,1671149833.6518574,50640.904050056284,249.75830680566463,0.007568433539565595
P-53361,BATCH|Pancake|Banana,24.0,ea,,4250.0,g,3332.3365384615386,0.784079185520362,30.690384615384616,0.0072212669683257924,840803.8461538461,197.8361990950226,25658040.384615384,6037.185972850679,10.559423076922876,0.002484570135746559
P-26631,BATCH|Pancake|Chocolate Chip,48.0,ea,,4080.0,g,3425.625,0.8396139705882353,33.300000000000004,0.008161764705882354,945200.0,231.66666666666666,28850825.0,7071.280637254902,11.002499999999774,0.002696691176470533
P-39328,BATCH|Pancake|Pumpkin Spice,24.0,ea,,960.0,g,3348.7607000000003,3.4882923958333336,31.703250000000004,0.03302421875000001,861198.1,897.0813541666666,26384460.7,27483.813229166666,10.666499999999798,0.01111093749999979
P-66080,BATCH|Parsnip puree|POPAR,1.5,L,,1500.0,ml,6262.170399999999,4.174780266666666,37.939750000000004,0.02529316666666667,82061.37000000001,54.70758000000001,25189138.209999997,16792.758806666665,7.070749999999999,0.004713833333333333
P-55656,BATCH|Peas & Carrots,2.0,Kg,,2000.0,g,2780.270285714286,1.390135142857143,30.89107142857143,0.015445535714285714,314268.68571428576,157.13434285714288,13388534.057142856,6694.2670285714275,2.2696428571428573,0.0011348214285714286
P-71466,BATCH|Pineapple Cucumber Salsa,2.6,Kg,,2600.0,g,1636.7832441168362,0.6295320169680139,19.99375494040593,0.0076899057463099725,106556.87432027931,40.98341320010743,3622732.4196234243,1393.3586229320863,3.1151852396376074,0.0011981481690913874
P-56982,BATCH|Pineapple Mustard,550.0,ml,,550.0,ml,815.0273498500001,1.4818679088181819,0.05454221000000001,9.916765454545456e-05,533.5228099999999,0.9700414727272726,3920.1843,7.127607818181818,0.8822675470000001,0.001604122812727273
P-41467,BATCH|Pita Chips,0.96,Kg,,960.0,g,4748.305,4.946151041666667,29.739,0.030978125000000002,933789.0,972.696875,32962680.0,34336.125,17.7982999999998,0.018539895833333122
P-57036,BATCH|Poached prawns,8.0,Kg,,8000.0,g,190538.051,23.817256375,634.7840000000001,0.07934800000000002,10895867.0,1361.983375,439197276.0,54899.6595,27.5763,0.0034470375
P-61104,BATCH|PoblanoFilling,4.2,Kg,,4200.0,g,9915.139372982318,2.3607474697576945,92.05150317069678,0.021917024564451614,1905619.0469839058,453.71882071045377,74569804.96380888,17754.715467573544,19.368575288981997,0.004611565544995713
P-68116,BATCH|Pollo Asado,9.0,Kg,,9000.0,g,44740.890000000014,4.971210000000002,1169.0987499999999,0.1298998611111111,3710966.0416666665,412.3295601851852,3571986.0416666665,396.88733796296293,117.51425000000002,0.01305713888888889
P-56912,BATCH|Pork Mince|Tantanmen,1.0,Kg,,1000.0,g,12017.074999999999,12.017074999999998,160.90750000000003,0.16090750000000004,2175612.0,2175.612,65231481.0,65231.481,25.741499999999878,0.02574149999999988
P-62692,BATCH|Potato Salad|NEW,8.5,Kg,,8500.0,g,11765.275077328815,1.3841500090975076,99.64886399233453,0.011723395763804063,686497.9525250725,80.7644650029497,21403901.23289503,2518.1060273994153,11.791688198289462,0.0013872574350928778
