Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label
Coconut,Flan,R-64457,Coconut|Flan|LM,OK - SQUARE MEAL,157.34950000000006,440.3523547986197,4.468377615711025,0.3925398156601384,43.44,1977.48,279.86,2.84,27.61,1256.74,0.25,Yellow,Yellow
COKE STARLIGHT ZERO,,R-67348,COKE STARLIGHT ZERO,BEVERAGE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
CONTAINER,Own Container Cr.,R-60814,CONTAINER|Own Container Cr.,Own Container,1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.0,Green,Green
CONTAINER,Own Container Credit,R-13175,CONTAINER|Own Container Credit,Own Container,1000.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,0.0,Green,Green
CONTAINER,Paper Cup Charge,R-45723,CONTAINER|Paper Cup Charge,SUPPLY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
CONTAINER,Take Out,R-29827,CONTAINER|Take Out,SUPPLY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Green,Green
COOKED,Chow Mein,R-57965,COOKED|Chow Mein|CST,OK - CUSTOM KITCHEN,150.0,171.297030011855,1.616334934797529,0.5586354277157187,45.93,1400.19,114.2,1.08,30.62,933.46,0.37,Green,Green
CST, Prawn Skewer,R-43237,CST| Prawn Skewer,OK - CUSTOM KITCHEN,85.04849999999999,1796.8536789,5.978909549999999,0.252594045,102.72,4145.06,2112.74,7.03,120.78,4873.76,0.3,Red,Red
CST,Beef ,R-37170,CST|Beef ,OK - CUSTOM KITCHEN,594.0,3995.7308377780064,31.679354542025443,11.87079116723601,235.64,6895.12,672.68,5.33,39.67,1160.79,2.0,Red,Red
CST,Chicken,R-37171,CST|Chicken,OK - CUSTOM KITCHEN,594.0,949.4159203928028,16.08224972697443,2.3472935907053945,132.42,1719.31,159.83,2.71,22.29,289.45,0.4,Green,Green
