Category,Displayed Name,ProdId,Description,SalesGroup,Weight (g),GHG Emission (g),N lost (g),Land Use (m^2),Freshwater Withdrawals (L),Stress-Weighted Water Use (L),GHG Emission (g) / 100g,N lost (g) / 100g,Freshwater Withdrawals (L) / 100g,Stress-Weighted Water Use (L) / 100g,Land Use (m^2) / 100g,GHG Only Label,Combined Label
ADD,Arugula,R-44735,ADD|Arugula|Omelet,ADD ONS,20.0,16.507870571428573,0.1586335714285714,0.0649245714285714,1.1,49.8,82.54,0.79,5.5,249.0,0.32,Green,Green
ADD,Beef Patty,R-16241,ADD|Beef Patty,GV GRILL DAY,122.00000000000014,6251.712648920392,49.79093531864247,19.11836871611748,253.44,9264.06,5124.35,40.81,207.74,7593.49,15.67,Red,Red
ADD,Condiment House Made,R-44780,ADD|Condiment House Made,ADD ONS,60.0,132.68651357216262,0.243919258834773,0.1433667812423145,3.16,193.34,221.14,0.41,5.27,322.23,0.24,Yellow,Green
ADD,Crackers,R-13180,ADD|Crackers,ADD ONS,5.9999998800000025,9.134999817300004,0.088799998224,0.0293399994131994,2.52,76.93,152.25,1.48,42.0,1282.17,0.49,Green,Yellow
ADD,Creamed Spin,R-44739,ADD|Creamed Spin|Omelet,ADD ONS,70.0,251.94849451428573,1.6711094285714283,0.3519988571428571,9.89,1183.29,359.93,2.39,14.13,1690.41,0.5,Yellow,Yellow
ADD,Gravy,R-44765,ADD|Gravy|3oz,GV GRILL DAY,90.0,79.50539699999999,0.7657425,0.1158362999999993,9.05,395.88,88.34,0.85,10.06,439.87,0.13,Green,Green
ADD,Gravy,R-57388,ADD|Gravy|plant based,FOOD,85.0,0.0,0.0649771875,0.0,0.28,11.01,0.0,0.08,0.33,12.95,0.0,Green,Green
ADD,Marshmallow,R-41489,ADD|Marshmallow,ADD ONS,12.0,19.6968,0.0,0.02868,0.12,0.78,164.14,0.0,1.0,6.5,0.24,Green,Green
ADD,Pulled Pork,R-46996,ADD|Pulled Pork,GV GRILL DAY,125.0,1765.2364545291057,22.67934566003188,3.7596928970145393,311.84,9485.39,1412.19,18.14,249.47,7588.31,3.01,Red,Red
ADD,Sour Cream & Salsa,R-42493,ADD|Sour Cream & Salsa,ADD ONS,60.0,209.472,1.0449,0.2339999999999999,1.45,949.12,349.12,1.74,2.42,1581.87,0.39,Yellow,Yellow
ALF,Pasta,R-51303,ALF|Pasta|Chorizo Penne,OK - AL FORNO,457.0,1266.340081576427,14.803210204466565,2.3834486092540046,235.75,9012.87,277.1,3.24,51.59,1972.18,0.52,Yellow,Yellow
BBC,High tideline salad,R-52828,BBC|High tideline salad|POP,SPECIALS,174.0,127.95109137855472,1.5939886558351608,0.3064895633339919,19.06,897.77,73.54,0.92,10.95,515.96,0.18,Green,Green
BEV,Coffee,R-12393,BEV|Coffee|12 oz,BEVERAGE,295.735,22.07615,0.02853,0.0293283333333333,0.11,31.05,7.46,0.01,0.04,10.5,0.01,Green,Green
BEV,Coffee,R-12394,BEV|Coffee|16 oz,BEVERAGE,414.029,30.906609999999997,0.039942,0.0410596666666666,0.15,43.47,7.46,0.01,0.04,10.5,0.01,Green,Green
BEV,Coffee,R-67307,BEV|Coffee|Ethical Bean Promo,BEVERAGE,414.029,30.906609999999997,0.039942,0.0410596666666666,0.15,43.47,7.46,0.01,0.04,10.5,0.01,Green,Green
,,R-53768,BEV|Cold Brew|Two Bears|Black,BEVERAGE,1.0,16.6995,0.0027,0.02162,0.03,0.34,1669.95,0.27,3.0,34.0,2.16,Red,Red
BEV,Cold Brew,R-52932,BEV|Cold Brew|Two Bears|Black,BEVERAGE,1.0,16.6995,0.0027,0.02162,0.03,0.34,1669.95,0.27,3.0,34.0,2.16,Red,Red
BEV,Cold Brew,R-53769,BEV|Cold Brew|Two Bears|Mocha,BEVERAGE,1.0,16.6995,0.0027,0.02162,0.03,0.34,1669.95,0.27,3.0,34.0,2.16,Red,Red
BEV,Core Power,R-53073,BEV|Core Power|Asst,BEVERAGE,1.0,2.614,0.000675,0.01724,0.01,0.06,261.4,0.07,1.0,6.0,1.72,Yellow,Yellow
BEV,Core Power,R-64333,BEV|Core Power|Banana,BEVERAGE,1.0,0.7115,0.0027,0.00193,0.0,0.03,71.15,0.27,0.0,3.0,0.19,Green,Green
BEV,Core Power,R-37761,BEV|Core Power|Chocolate,BEVERAGE,1.0,10.456,0.0027,0.06896,0.02,0.22,1045.6,0.27,2.0,22.0,6.9,Red,Red
BEV,Core Power,R-62981,BEV|Core Power|Chocolate|Elite,BEVERAGE,1.0,10.456,0.0027,0.06896,0.02,0.22,1045.6,0.27,2.0,22.0,6.9,Red,Red
